index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e6,l1_obj,l1_pass_1e6,l2_obj,l2_pass_1e6,final_obj,final_pass_1e6,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,1,Medium,219816.0,4200.0,False,4200.0,False,4200.0,False,4200.0,False,86.438,14347,7635,21982
1,2,Medium,125.0,125.0,True,125.0,True,125.0,True,125.0,True,24.657,3588,2427,6015
2,3,Hard,10349920.0,16800000.0,False,,False,,False,,False,59.345,8976,5897,14873
3,4,Easy,30400.0,30400.0,True,30400.0,True,30400.0,True,30400.0,True,43.777,6153,4203,10356
4,5,Easy,18.6943,18.985714285714288,False,18.985714285714288,False,18.985714285714288,False,18.985714285714288,False,79.321,9446,7457,16903
5,6,Hard,10755.0,-213500.0,False,-213500.0,False,-213500.0,False,-213500.0,False,86.112,10915,8089,19004
6,7,Medium,904590.0,904590.0,True,904590.0,True,904590.0,True,904590.0,True,64.570,10515,6102,16617
7,8,Medium,14.0,13.0,False,13.0,False,13.0,False,13.0,False,36.487,6159,3628,9787
8,9,Hard,623.0,447.0,False,447.0,False,447.0,False,447.0,False,50.029,5902,4744,10646
9,10,Easy,3.0,3.0,True,3.0,True,3.0,True,3.0,True,29.455,5414,2800,8214
10,11,Medium,3867.0,,False,,False,,False,,False,39.744,6233,3940,10173
11,12,Hard,43200.0,43700.0,False,43700.0,False,43700.0,False,43700.0,False,26.908,6450,2669,9119
12,13,Medium,180000.0,,False,,False,,False,,False,39.658,5019,4105,9124
13,14,Hard,123.8,123.8,True,123.8,True,123.8,True,123.8,True,79.021,7560,7326,14886
14,15,Medium,168.0,18.0,False,,False,,False,,False,59.624,6756,6182,12938
15,16,Easy,4100.0,,False,4100.0,True,4100.0,True,4100.0,True,44.144,5574,4320,9894
16,17,Hard,0.5765,4.1,False,4.1,False,4.1,False,4.1,False,63.004,8425,6247,14672
17,18,Medium,5.0,,False,-4765000.0,False,-4765000.0,False,-4765000.0,False,54.169,9495,5421,14916
18,19,Easy,4000.0,400.0,False,400.0,False,400.0,False,400.0,False,26.850,3240,2676,5916
19,20,Easy,956.0,720.0,False,720.0,False,720.0,False,720.0,False,47.880,6217,4761,10978
20,21,Easy,15000.0,1000.0,False,1000.0,False,1000.0,False,1000.0,False,27.727,3446,2712,6158
21,22,Medium,156483.0,-0.0,False,-0.0,False,-0.0,False,-0.0,False,79.226,9779,7342,17121
22,23,Easy,21500.0,21500.0,True,21500.0,True,21500.0,True,21500.0,True,90.254,10696,8359,19055
23,24,Easy,1000.0,1000.0,True,1000.0,True,1000.0,True,1000.0,True,57.409,7337,5460,12797
24,25,Easy,510000.0,200000.0,False,200000.0,False,200000.0,False,200000.0,False,25.712,3887,2527,6414
25,26,Hard,53.0,63.0,False,63.0,False,63.0,False,63.0,False,54.829,7343,5280,12623
26,27,Hard,1146.4142,359.6363636363635,False,359.6363636363635,False,359.6363636363635,False,359.6363636363635,False,101.898,14868,9002,23870
27,28,Medium,580000.0,470000.0,False,470000.0,False,470000.0,False,470000.0,False,47.714,10621,4520,15141
28,29,Medium,2000.0,1000.0,False,1000.0,False,1000.0,False,1000.0,False,106.745,14378,9937,24315
29,30,Easy,32.43589743589744,32.43589743589744,True,32.43589743589744,True,32.43589743589744,True,32.43589743589744,True,52.311,5015,4820,9835
30,31,Hard,1190.41,,False,,False,,False,,False,69.697,9841,6943,16784
31,32,Easy,2924.0,9350.0,False,9350.0,False,9350.0,False,9350.0,False,40.451,4236,3808,8044
32,33,Medium,1000.0,1000.0,True,1000.0,True,1000.0,True,1000.0,True,78.387,8632,7423,16055
33,34,Hard,7.0,0.0,False,0.0,False,0.0,False,0.0,False,60.873,8240,5767,14007
34,35,Medium,14.1,,False,,False,,False,,False,45.190,4956,4398,9354
35,36,Hard,175.37,,False,,False,,False,,False,110.078,21960,10985,32945
36,37,Medium,11250.0,11250.0,True,11250.0,True,11250.0,True,11250.0,True,37.023,6062,3682,9744
37,38,Easy,14.0,10.0,False,10.0,False,10.0,False,10.0,False,48.030,5679,4659,10338
