index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e6,l1_obj,l1_pass_1e6,l2_obj,l2_pass_1e6,final_obj,final_pass_1e6,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,1,Medium,219816.0,4200.0,False,4200.0,False,4200.0,False,4200.0,False,23.603,1918,2491,4409
1,2,Medium,125.0,125.0,True,125.0,True,125.0,True,125.0,True,10.548,1001,1053,2054
2,3,Hard,10349920.0,,False,,False,,False,,False,21.882,2066,2302,4368
3,4,Easy,30400.0,30400.0,True,30400.0,True,30400.0,True,30400.0,True,14.878,1257,1553,2810
4,5,Easy,18.6943,18.985714285714288,False,18.985714285714288,False,18.985714285714288,False,18.985714285714288,False,18.508,1376,1938,3314
5,6,Hard,10755.0,,False,,False,,False,,False,21.065,1518,2212,3730
6,7,Medium,904590.0,904590.0,True,904590.0,True,904590.0,True,904590.0,True,17.408,2079,1818,3897
7,8,Medium,14.0,14.0,True,14.0,True,14.0,True,14.0,True,13.943,1156,1448,2604
8,9,Hard,623.0,,False,,False,,False,,False,13.805,1175,1492,2667
9,10,Easy,3.0,3.0,True,3.0,True,3.0,True,3.0,True,14.382,1477,1547,3024
10,11,Medium,3867.0,,False,,False,,False,,False,12.873,1574,1379,2953
11,12,Hard,43200.0,,False,,False,,False,,False,12.163,1735,1300,3035
12,13,Medium,180000.0,,False,,False,,False,,False,12.001,1166,1287,2453
13,14,Hard,123.8,123.8,True,123.8,True,123.8,True,123.8,True,23.470,1584,2601,4185
14,15,Medium,168.0,60.0,False,60.0,False,60.0,False,60.0,False,17.044,1374,1891,3265
15,16,Easy,4100.0,,False,,False,,False,,False,12.387,1116,1372,2488
16,17,Hard,0.5765,4.1,False,4.1,False,4.1,False,4.1,False,21.466,1476,2408,3884
17,18,Medium,5.0,,False,,False,,False,,False,12.458,1226,1396,2622
18,19,Easy,4000.0,340.0,False,340.0,False,340.0,False,340.0,False,15.224,1170,1700,2870
19,20,Easy,956.0,800.0,False,800.0,False,800.0,False,800.0,False,17.240,1284,1929,3213
20,21,Easy,15000.0,940.0,False,940.0,False,940.0,False,940.0,False,17.416,1189,1950,3139
21,22,Medium,156483.0,-0.0,False,-0.0,False,-0.0,False,-0.0,False,14.762,1586,1615,3201
22,23,Easy,21500.0,21500.0,True,21500.0,True,21500.0,True,21500.0,True,12.805,1396,1379,2775
23,24,Easy,1000.0,1000.0,True,1000.0,True,1000.0,True,1000.0,True,14.596,1264,1567,2831
24,25,Easy,510000.0,200000.0,False,200000.0,False,200000.0,False,200000.0,False,9.864,958,1047,2005
25,26,Hard,53.0,63.0,False,63.0,False,63.0,False,63.0,False,15.184,1292,1657,2949
