index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e6,l1_obj,l1_pass_1e6,l2_obj,l2_pass_1e6,final_obj,final_pass_1e6,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,1,Medium,219816.0,,False,,False,,False,,False,311.837,24198,30841,55039
1,2,Medium,125.0,15.0,False,15.0,False,15.0,False,15.0,False,296.588,6201,29182,35383
2,3,Hard,10349920.0,,False,,False,,False,,False,342.221,17403,33754,51157
3,4,Easy,30400.0,30400.0,True,30400.0,True,30400.0,True,30400.0,True,70.714,3283,7552,10835
4,5,Easy,18.6943,18.985714285714288,False,18.985714285714288,False,18.985714285714288,False,18.985714285714288,False,142.804,3368,14658,18026
5,6,Hard,10755.0,,False,,False,,False,,False,332.542,14698,32905,47603
6,7,Medium,904590.0,904590.0,True,904590.0,True,904590.0,True,904590.0,True,68.234,4416,7336,11752
7,8,Medium,14.0,14.0,True,14.0,True,14.0,True,14.0,True,66.418,2605,7158,9763
8,9,Hard,623.0,623.0,True,623.0,True,623.0,True,623.0,True,113.129,2960,11092,14052
9,10,Easy,3.0,,False,,False,,False,,False,401.272,15459,38673,54132
10,11,Medium,3867.0,,False,,False,,False,,False,439.627,37107,42269,79376
11,12,Hard,43200.0,15600.0,False,15600.0,False,15600.0,False,15600.0,False,97.363,3994,9342,13336
12,13,Medium,180000.0,180000.0,True,180000.0,True,180000.0,True,180000.0,True,191.837,4354,18362,22716
13,14,Hard,123.8,153.33333333333337,False,153.33333333333337,False,153.33333333333337,False,153.33333333333337,False,88.472,3666,8317,11983
14,15,Medium,168.0,,False,,False,,False,,False,347.110,13489,34469,47958
15,16,Easy,4100.0,4100.0,True,4100.0,True,4100.0,True,4100.0,True,118.185,2805,11758,14563
16,17,Hard,0.5765,,False,,False,,False,,False,357.133,19590,35290,54880
17,18,Medium,5.0,5.0,True,5.0,True,5.0,True,5.0,True,145.561,2627,13915,16542
18,19,Easy,4000.0,4000.0,True,4000.0,True,4000.0,True,4000.0,True,188.788,5500,18300,23800
19,20,Easy,956.0,960.0,False,960.0,False,960.0,False,960.0,False,114.733,3105,10744,13849
20,21,Easy,15000.0,15000.0,True,15000.0,True,15000.0,True,15000.0,True,119.301,2986,11347,14333
21,22,Medium,156483.0,270289.99999999994,False,270289.99999999994,False,270289.99999999994,False,270289.99999999994,False,108.010,4013,10861,14874
22,23,Easy,21500.0,24000.0,False,24000.0,False,24000.0,False,24000.0,False,88.352,3328,8857,12185
23,24,Easy,1000.0,1000.0,True,1000.0,True,1000.0,True,1000.0,True,218.256,6914,21835,28749
24,25,Easy,510000.0,140000.0,False,140000.0,False,140000.0,False,140000.0,False,123.705,2481,12864,15345
25,26,Hard,53.0,15.0,False,15.0,False,15.0,False,15.0,False,295.129,6663,29050,35713
26,27,Hard,1146.4142,,False,,False,,False,,False,363.056,24722,35107,59829
27,28,Medium,580000.0,,False,,False,,False,,False,315.901,20768,30518,51286
28,29,Medium,2000.0,,False,,False,,False,,False,408.560,29635,38965,68600
29,30,Easy,32.43589743589744,0.032435897435897434,False,0.032435897435897434,False,0.032435897435897434,False,0.032435897435897434,False,98.404,3497,9193,12690
30,31,Hard,1190.41,,False,,False,,False,,False,293.496,23289,27668,50957
31,32,Easy,2924.0,2924.1379310344823,False,2924.1379310344823,False,2924.1379310344823,False,2924.1379310344823,False,50.618,2614,4635,7249
32,33,Medium,1000.0,711.0,False,711.0,False,711.0,False,711.0,False,362.909,8523,34596,43119
33,34,Hard,7.0,0.0,False,0.0,False,0.0,False,0.0,False,159.652,8072,15068,23140
34,35,Medium,14.1,14.1,True,14.1,True,14.1,True,14.1,True,113.461,4034,11034,15068
35,36,Hard,175.37,,False,,False,,False,,False,396.523,31689,38314,70003
36,37,Medium,11250.0,11250.0,True,11250.0,True,11250.0,True,11250.0,True,185.089,6636,17118,23754
37,38,Easy,14.0,14.0,True,14.0,True,14.0,True,14.0,True,163.599,5537,15568,21105
38,39,Easy,600.0,600.0,True,600.0,True,600.0,True,600.0,True,113.364,3057,10620,13677
39,40,Medium,33288066.626,61849707.73246382,False,61849707.73246382,False,61849707.73246382,False,61849707.73246382,False,158.633,4447,15427,19874
40,41,Medium,964640.0,964640.0,True,964640.0,True,964640.0,True,964640.0,True,136.363,3530,13436,16966
41,42,Easy,150.0,150.0,True,150.0,True,150.0,True,150.0,True,158.194,2747,15754,18501
42,43,Medium,6800.0,6800.0,True,6800.0,True,6800.0,True,6800.0,True,133.602,4665,13272,17937
43,44,Medium,685.0,,False,,False,,False,,False,226.554,22703,22530,45233
44,45,Easy,700.0,10.0,False,10.0,False,10.0,False,10.0,False,279.233,12233,27222,39455
45,46,Medium,715.7,715.7000000000002,True,715.7000000000002,True,715.7000000000002,True,715.7000000000002,True,167.151,7784,16243,24027
46,47,Hard,20241.615384615387,,False,,False,,False,,False,334.431,15645,33181,48826
47,48,Medium,11250.0,11250.0,True,11250.0,True,11250.0,True,11250.0,True,144.173,6585,14018,20603
48,49,Medium,208000.0,,False,,False,,False,,False,352.921,27226,34751,61977
49,50,Easy,9100.0,9100.0,True,9100.0,True,9100.0,True,9100.0,True,79.606,2789,7751,10540
50,51,Medium,4240.0,4240.0,True,4240.0,True,4240.0,True,4240.0,True,128.668,6199,12638,18837
51,52,Easy,150.0,150.0,True,150.0,True,150.0,True,150.0,True,103.428,2905,10024,12929
52,53,Easy,3050.0,3050.0,True,3050.0,True,3050.0,True,3050.0,True,108.882,3142,10618,13760
53,54,Easy,135.26666666666668,135.26666666666668,True,135.26666666666668,True,135.26666666666668,True,135.26666666666668,True,58.044,2418,5695,8113
54,55,Hard,4.0,4.0,True,4.0,True,4.0,True,4.0,True,72.692,2621,7099,9720
55,56,Medium,-700.0,,False,,False,,False,,False,262.608,13437,25945,39382
56,57,Easy,600.0,,False,,False,,False,,False,305.280,21262,30626,51888
57,58,Easy,240000.0,240000.0,True,240000.0,True,240000.0,True,240000.0,True,209.182,5908,20587,26495
58,59,Medium,6160.0,,False,,False,,False,,False,303.222,22279,30236,52515
59,60,Hard,153.0,,False,,False,,False,,False,302.236,13543,30140,43683
60,61,Easy,37000.0,37000.0,True,37000.0,True,37000.0,True,37000.0,True,88.921,2805,8807,11612
61,62,Easy,90000.0,,False,90000.0,True,90000.0,True,90000.0,True,118.957,3316,11297,14613
62,63,Easy,640.0,640.0,True,640.0,True,640.0,True,640.0,True,144.147,5804,14197,20001
63,64,Easy,38000.0,38000.0,True,38000.0,True,38000.0,True,38000.0,True,64.166,3280,6279,9559
64,65,Medium,30500.0,,False,,False,,False,,False,284.971,13811,28466,42277
65,66,Medium,25000.0,,False,25000.0,True,25000.0,True,25000.0,True,150.306,4947,15248,20195
66,67,Medium,3160500.0,3160500.0,True,3160500.0,True,3160500.0,True,3160500.0,True,218.484,7944,21582,29526
67,68,Easy,1030.0,1030.0,True,1030.0,True,1030.0,True,1030.0,True,93.536,1311,9460,10771
68,69,Easy,20.0,0.0,False,0.0,False,0.0,False,0.0,False,239.120,5058,23523,28581
69,70,Easy,35.0,,False,,False,,False,,False,308.973,29156,29828,58984
70,71,Medium,330.0,,False,,False,,False,,False,354.295,12630,34122,46752
71,72,Easy,135000.0,,False,135000.0,True,135000.0,True,135000.0,True,207.422,4493,20230,24723
72,73,Easy,1600.0,1600.0,True,1600.0,True,1600.0,True,1600.0,True,201.956,5430,19655,25085
73,74,Medium,115000.0,115000.0,True,115000.0,True,115000.0,True,115000.0,True,147.322,3814,14307,18121
74,75,Easy,57.0,57.0,True,57.0,True,57.0,True,57.0,True,228.964,8619,21704,30323
75,76,Medium,4700.0,,False,,False,,False,,False,267.603,14251,25818,40069
76,77,Easy,1005.0,,False,,False,,False,,False,313.037,22604,29935,52539
77,78,Medium,172.0,1120.0,False,1120.0,False,1120.0,False,1120.0,False,207.468,5150,19752,24902
78,79,Easy,9800.0,9800.0,True,9800.0,True,9800.0,True,9800.0,True,88.476,2900,8301,11201
79,80,Medium,84000.0,,False,,False,,False,,False,337.872,24275,33036,57311
80,81,Hard,28.6,28.6,True,28.6,True,28.6,True,28.6,True,145.943,6427,14072,20499
81,82,Easy,28.0,,False,,False,,False,,False,337.727,13358,33794,47152
82,83,Hard,26.0,26.0,True,26.0,True,26.0,True,26.0,True,91.506,2490,9214,11704
83,84,Easy,23000.0,23000.0,True,23000.0,True,23000.0,True,23000.0,True,131.274,5967,12732,18699
84,85,Hard,1866.37,1866.379310344828,False,1866.379310344828,False,1866.379310344828,False,1866.379310344828,False,105.924,4784,10120,14904
85,86,Hard,77500.0,77499.99999999999,True,77499.99999999999,True,77499.99999999999,True,77499.99999999999,True,81.677,4678,7694,12372
86,87,Medium,4170.0,4170.0,True,4170.0,True,4170.0,True,4170.0,True,81.655,2970,7752,10722
87,88,Medium,1.25,68.38709677419355,False,68.38709677419355,False,68.38709677419355,False,68.38709677419355,False,155.089,2659,15681,18340
88,89,Medium,146.667,160.0,False,160.0,False,160.0,False,160.0,False,83.873,2844,8911,11755
89,90,Medium,3600.0,3600.0,True,3600.0,True,3600.0,True,3600.0,True,95.269,4624,10074,14698
90,91,Easy,408.9,408.0,False,408.0,False,408.0,False,408.0,False,138.660,4429,14462,18891
91,92,Easy,6200.0,6200.0,True,6200.0,True,6200.0,True,6200.0,True,61.304,2602,6502,9104
92,93,Easy,3360.0,3360.0,True,3360.0,True,3360.0,True,3360.0,True,171.605,6502,17285,23787
93,94,Medium,5000000.0,,False,8000000.0,False,8000000.0,False,8000000.0,False,220.441,13430,21909,35339
94,95,Medium,528.0,528.0,True,528.0,True,528.0,True,528.0,True,81.329,3321,8046,11367
95,96,Medium,19.6,,False,,False,,False,,False,281.749,21533,29387,50920
96,97,Medium,115.0,,False,,False,,False,,False,241.771,22118,24630,46748
97,98,Medium,137500.0,165900.0,False,165900.0,False,165900.0,False,165900.0,False,114.851,3111,11188,14299
98,99,Hard,0.6075,,False,,False,,False,,False,322.302,22706,35501,58207
99,100,Hard,84.0,,False,,False,,False,,False,288.422,15897,31497,47394
