index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e6,l1_obj,l1_pass_1e6,l2_obj,l2_pass_1e6,final_obj,final_pass_1e6,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,1,Medium,219816.0,,False,,False,,False,,False,94.602,1880,10141,12021
1,2,Medium,125.0,5.0,False,5.0,False,5.0,False,5.0,False,109.176,1007,11731,12738
2,3,Hard,10349920.0,,False,,False,,False,,False,88.124,2035,9462,11497
3,4,Easy,30400.0,30400.0,True,30400.0,True,30400.0,True,30400.0,True,28.810,1174,3162,4336
4,5,Easy,18.6943,18.985714285714288,False,18.985714285714288,False,18.985714285714288,False,18.985714285714288,False,82.070,1366,8839,10205
5,6,Hard,10755.0,,False,,False,,False,,False,95.551,1442,10239,11681
6,7,Medium,904590.0,904590.0,True,904590.0,True,904590.0,True,904590.0,True,37.566,2057,4146,6203
7,8,Medium,14.0,14.0,True,14.0,True,14.0,True,14.0,True,30.502,1137,3352,4489
8,9,Hard,623.0,,False,,False,,False,,False,87.012,1081,9271,10352
9,10,Easy,3.0,,False,,False,,False,,False,49.483,1276,5266,6542
10,11,Medium,3867.0,,False,,False,,False,,False,95.416,1483,10137,11620
11,12,Hard,43200.0,15600.0,False,15600.0,False,15600.0,False,15600.0,False,47.315,1714,5032,6746
12,13,Medium,180000.0,,False,,False,,False,,False,85.136,1102,9110,10212
13,14,Hard,123.8,123.8,True,123.8,True,123.8,True,123.8,True,84.308,1396,9041,10437
14,15,Medium,168.0,,False,,False,,False,,False,83.763,1345,8983,10328
15,16,Easy,4100.0,4100.0,True,4100.0,True,4100.0,True,4100.0,True,70.292,1099,7570,8669
16,17,Hard,0.5765,,False,,False,,False,,False,92.013,1475,9846,11321
17,18,Medium,5.0,,False,,False,,False,,False,84.162,1174,9004,10178
18,19,Easy,4000.0,4000.0,True,4000.0,True,4000.0,True,4000.0,True,57.170,1129,6098,7227
19,20,Easy,956.0,960.0,False,960.0,False,960.0,False,960.0,False,59.728,1185,6361,7546
20,21,Easy,15000.0,15000.0,True,15000.0,True,15000.0,True,15000.0,True,48.267,1133,5205,6338
21,22,Medium,156483.0,270289.99999999994,False,270289.99999999994,False,270289.99999999994,False,270289.99999999994,False,49.101,1569,5300,6869
22,23,Easy,21500.0,24000.0,False,24000.0,False,24000.0,False,24000.0,False,59.349,1241,6450,7691
23,24,Easy,1000.0,1000.0,True,1000.0,True,1000.0,True,1000.0,True,63.911,1121,6958,8079
24,25,Easy,510000.0,140000.0,False,140000.0,False,140000.0,False,140000.0,False,84.834,955,9203,10158
25,26,Hard,53.0,,False,,False,,False,,False,152.874,1246,16384,17630
26,27,Hard,1146.4142,,False,,False,,False,,False,104.490,1734,11295,13029
27,28,Medium,580000.0,580000.0,True,580000.0,True,580000.0,True,580000.0,True,79.676,1347,8669,10016
28,29,Medium,2000.0,,False,,False,,False,,False,115.584,1735,12330,14065
29,30,Easy,32.43589743589744,0.032435897435897434,False,0.032435897435897434,False,0.032435897435897434,False,0.032435897435897434,False,46.853,1377,5068,6445
30,31,Hard,1190.41,,False,,False,,False,,False,99.956,1850,10595,12445
31,32,Easy,2924.0,2924.1379310344823,False,2924.1379310344823,False,2924.1379310344823,False,2924.1379310344823,False,34.557,1193,3716,4909
32,33,Medium,1000.0,1000.0,True,1000.0,True,1000.0,True,1000.0,True,74.079,1230,7804,9034
33,34,Hard,7.0,0.0,False,0.0,False,0.0,False,0.0,False,61.911,1293,6515,7808
34,35,Medium,14.1,,False,,False,,False,,False,87.279,1020,9207,10227
35,36,Hard,175.37,,False,,False,,False,,False,93.934,4193,9932,14125
36,37,Medium,11250.0,11250.0,True,11250.0,True,11250.0,True,11250.0,True,57.201,1361,6013,7374
37,38,Easy,14.0,,False,,False,,False,,False,85.495,1188,9136,10324
38,39,Easy,600.0,600.0,True,600.0,True,600.0,True,600.0,True,71.985,1116,7702,8818
39,40,Medium,33288066.626,,False,,False,,False,,False,99.511,1825,10635,12460
40,41,Medium,964640.0,964640.0,True,964640.0,True,964640.0,True,964640.0,True,69.156,1448,7395,8843
41,42,Easy,150.0,150.0,True,150.0,True,150.0,True,150.0,True,138.184,994,14749,15743
42,43,Medium,6800.0,6800.0,True,6800.0,True,6800.0,True,6800.0,True,27.734,1114,2999,4113
43,44,Medium,685.0,,False,,False,,False,,False,96.212,1576,10287,11863
44,45,Easy,700.0,,False,,False,,False,,False,104.133,1529,11090,12619
45,46,Medium,715.7,715.7,True,715.7,True,715.7,True,715.7,True,70.452,1608,7486,9094
46,47,Hard,20241.615384615387,,False,,False,,False,,False,100.522,1820,10657,12477
47,48,Medium,11250.0,,False,,False,,False,,False,97.582,1411,10343,11754
48,49,Medium,208000.0,,False,,False,,False,,False,95.380,1660,10120,11780
49,50,Easy,9100.0,9100.0,True,9100.0,True,9100.0,True,9100.0,True,68.126,1113,7217,8330
50,51,Medium,4240.0,,False,,False,,False,,False,85.330,1204,9145,10349
51,52,Easy,150.0,15.0,False,15.0,False,15.0,False,15.0,False,44.880,1273,4694,5967
52,53,Easy,3050.0,3050.0,True,3050.0,True,3050.0,True,3050.0,True,87.454,1105,9367,10472
53,54,Easy,135.26666666666668,135.26666666666668,True,135.26666666666668,True,135.26666666666668,True,135.26666666666668,True,24.173,1076,2526,3602
54,55,Hard,4.0,4.0,True,4.0,True,4.0,True,4.0,True,70.511,1109,7582,8691
