index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e6,l1_obj,l1_pass_1e6,l2_obj,l2_pass_1e6,final_obj,final_pass_1e6,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,1,Medium,219816.0,105520.0,False,105520.0,False,105520.0,False,105520.0,False,18.281,1898,1892,3790
1,2,Medium,125.0,250.0,False,250.0,False,250.0,False,250.0,False,7.740,997,712,1709
2,3,Hard,10349920.0,24800000.0,False,24800000.0,False,24800000.0,False,24800000.0,False,21.754,2061,2227,4288
3,4,Easy,30400.0,30400.0,True,30400.0,True,30400.0,True,30400.0,True,9.125,1251,862,2113
4,5,Easy,18.6943,18.985714285714288,False,18.985714285714288,False,18.985714285714288,False,18.985714285714288,False,18.233,1377,1890,3267
5,6,Hard,10755.0,,False,,False,,False,,False,16.453,1627,1690,3317
6,7,Medium,904590.0,904590.0,True,904590.0,True,904590.0,True,904590.0,True,15.915,2506,1630,4136
7,8,Medium,14.0,14.0,True,14.0,True,14.0,True,14.0,True,8.125,1149,756,1905
8,9,Hard,623.0,623.0,True,623.0,True,623.0,True,623.0,True,11.767,1175,1284,2459
9,10,Easy,3.0,,False,,False,,False,,False,6.211,1303,694,1997
10,11,Medium,3867.0,4136.0,False,4136.0,False,4136.0,False,4136.0,False,9.546,1573,1054,2627
11,12,Hard,43200.0,16600.0,False,16600.0,False,16600.0,False,16600.0,False,8.092,1735,826,2561
12,13,Medium,180000.0,180000.0,True,180000.0,True,180000.0,True,180000.0,True,9.751,1162,1033,2195
13,14,Hard,123.8,123.8,True,123.8,True,123.8,True,123.8,True,18.933,1584,2057,3641
14,15,Medium,168.0,48.0,False,48.0,False,48.0,False,48.0,False,8.410,1376,890,2266
15,16,Easy,4100.0,,False,,False,,False,,False,11.277,1160,1191,2351
16,17,Hard,0.5765,,False,,False,,False,,False,13.242,1495,1428,2923
17,18,Medium,5.0,,False,,False,,False,,False,7.299,1223,783,2006
18,19,Easy,4000.0,4000.0,True,4000.0,True,4000.0,True,4000.0,True,10.826,1176,1207,2383
19,20,Easy,956.0,956.0,True,956.0,True,956.0,True,956.0,True,11.149,1298,1238,2536
20,21,Easy,15000.0,15000.0,True,15000.0,True,15000.0,True,15000.0,True,12.921,1186,1383,2569
21,22,Medium,156483.0,369000.0,False,369000.0,False,369000.0,False,369000.0,False,9.846,1586,1076,2662
22,23,Easy,21500.0,21500.0,True,21500.0,True,21500.0,True,21500.0,True,9.016,1388,1001,2389
23,24,Easy,1000.0,1000.0,True,1000.0,True,1000.0,True,1000.0,True,9.075,1207,970,2177
24,25,Easy,510000.0,200000.0,False,200000.0,False,200000.0,False,200000.0,False,6.244,966,645,1611
25,26,Hard,53.0,37.0,False,37.0,False,37.0,False,37.0,False,11.318,1183,1201,2384
26,27,Hard,1146.4142,981.8333333333335,False,981.8333333333335,False,981.8333333333335,False,981.8333333333335,False,16.056,1856,1712,3568
27,28,Medium,580000.0,529200.0,False,529200.0,False,529200.0,False,529200.0,False,9.040,1339,948,2287
28,29,Medium,2000.0,8500008500.0,False,8500008500.0,False,8500008500.0,False,8500008500.0,False,24.832,1786,2629,4415
29,30,Easy,32.43589743589744,32.43589743589744,True,32.43589743589744,True,32.43589743589744,True,32.43589743589744,True,10.641,1567,1134,2701
30,31,Hard,1190.41,1519.047619047619,False,1519.047619047619,False,1519.047619047619,False,1519.047619047619,False,17.937,1880,1927,3807
31,32,Easy,2924.0,2924.1379310344823,False,2924.1379310344823,False,2924.1379310344823,False,2924.1379310344823,False,11.996,1372,1306,2678
32,33,Medium,1000.0,,False,,False,,False,,False,9.274,1205,1001,2206
33,34,Hard,7.0,0.0,False,0.0,False,0.0,False,0.0,False,13.719,1370,1450,2820
34,35,Medium,14.1,17.1,False,17.1,False,17.1,False,17.1,False,7.737,1044,824,1868
35,36,Hard,175.37,,False,,False,,False,,False,25.009,4234,2643,6877
36,37,Medium,11250.0,11250.0,True,11250.0,True,11250.0,True,11250.0,True,7.735,1376,817,2193
37,38,Easy,14.0,,False,,False,,False,,False,9.259,1164,986,2150
38,39,Easy,600.0,600.0,True,600.0,True,600.0,True,600.0,True,9.287,1155,970,2125
39,40,Medium,33288066.626,83000000.0,False,83000000.0,False,83000000.0,False,83000000.0,False,11.076,1661,1170,2831
40,41,Medium,964640.0,1520000.0,False,1520000.0,False,1520000.0,False,1520000.0,False,11.745,1461,1237,2698
41,42,Easy,150.0,150.0,True,150.0,True,150.0,True,150.0,True,7.363,1018,777,1795
42,43,Medium,6800.0,6800.0,True,6800.0,True,6800.0,True,6800.0,True,6.683,1208,716,1924
43,44,Medium,685.0,685.0,True,685.0,True,685.0,True,685.0,True,11.147,1602,1168,2770
44,45,Easy,700.0,712.0,False,712.0,False,712.0,False,712.0,False,18.552,1669,1997,3666
45,46,Medium,715.7,,False,,False,,False,,False,15.001,2008,1624,3632
46,47,Hard,20241.615384615387,20240.0,False,20240.0,False,20240.0,False,20240.0,False,17.958,1953,1947,3900
47,48,Medium,11250.0,11250.0,True,11250.0,True,11250.0,True,11250.0,True,11.031,1476,1187,2663
48,49,Medium,208000.0,8000000.0,False,8000000.0,False,8000000.0,False,8000000.0,False,13.531,1727,1450,3177
49,50,Easy,9100.0,,False,,False,,False,,False,8.510,1134,923,2057
50,51,Medium,4240.0,4240.0,True,4240.0,True,4240.0,True,4240.0,True,11.683,1295,1290,2585
51,52,Easy,150.0,150.0,True,150.0,True,150.0,True,150.0,True,10.861,1477,1194,2671
52,53,Easy,3050.0,3050.0,True,3050.0,True,3050.0,True,3050.0,True,10.243,1171,1111,2282
53,54,Easy,135.26666666666668,134.5,False,134.5,False,134.5,False,134.5,False,7.733,1207,843,2050
