index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e6,l1_obj,l1_pass_1e6,l2_obj,l2_pass_1e6,final_obj,final_pass_1e6,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,1,Medium,219816.0,267840.0,False,267840.0,False,267840.0,False,267840.0,False,123.258,15572,13547,29119
1,2,Medium,125.0,125.0,True,125.0,True,125.0,True,125.0,True,72.367,13550,6210,19760
2,3,Hard,10349920.0,10349920.0,True,10349920.0,True,10349920.0,True,10349920.0,True,160.252,27154,16165,43319
3,4,Easy,30400.0,30400.0,True,30400.0,True,30400.0,True,30400.0,True,76.952,11678,8677,20355
4,5,Easy,18.6943,18.985714285714288,False,18.985714285714288,False,18.985714285714288,False,18.98542285714287,False,130.956,21129,14575,35704
5,6,Hard,10755.0,10750.0,False,10750.0,False,10750.0,False,10750.0,False,122.803,20467,12537,33004
6,7,Medium,904590.0,,False,,False,,False,,False,67.772,18426,7184,25610
7,8,Medium,14.0,14.0,True,14.0,True,14.0,True,14.0,True,63.584,13587,6154,19741
8,9,Hard,623.0,623.0,True,623.0,True,623.0,True,623.0,True,60.627,9170,7026,16196
9,10,Easy,3.0,3.0,True,3.0,True,3.0,True,3.0,True,66.346,14646,5387,20033
10,11,Medium,3867.0,4273.0,False,4273.0,False,4273.0,False,4273.0,False,81.078,17142,8891,26033
11,12,Hard,43200.0,43200.0,True,43200.0,True,43200.0,True,43200.0,True,53.793,10238,4590,14828
12,13,Medium,180000.0,180000.0,True,180000.0,True,180000.0,True,179996.19999999998,False,125.660,24597,12505,37102
13,14,Hard,123.8,123.8,True,123.8,True,123.8,True,123.8,True,113.851,15783,12719,28502
14,15,Medium,168.0,134.0,False,134.0,False,134.0,False,134.0,False,56.130,9149,5194,14343
15,16,Easy,4100.0,4100.0,True,4100.0,True,4100.0,True,4100.0,True,52.150,8598,5210,13808
16,17,Hard,0.5765,0.5765928623157907,False,0.5765928623157907,False,0.5765928623157907,False,0.5765928623157907,False,534.764,19018,9714,28732
17,18,Medium,5.0,5.000000000000002,True,5.000000000000002,True,5.000000000000002,True,5.000000000000002,True,105.599,12715,9609,22324
18,19,Easy,4000.0,4000.0,True,4000.0,True,4000.0,True,4000.0,True,103.116,18997,9760,28757
19,20,Easy,956.0,960.0,False,960.0,False,960.0,False,960.0,False,64.165,9431,7313,16744
20,21,Easy,15000.0,15000.0,True,15000.0,True,15000.0,True,15000.0,True,98.330,19096,10023,29119
21,22,Medium,156483.0,270289.99999999994,False,270289.99999999994,False,270289.99999999994,False,270289.99999999994,False,85.169,15502,8678,24180
22,23,Easy,21500.0,24000.0,False,24000.0,False,24000.0,False,24000.0,False,48.069,9160,5612,14772
23,24,Easy,1000.0,1000.0,True,1000.0,True,1000.0,True,1000.0,True,99.160,17618,10141,27759
24,25,Easy,510000.0,410000.0,False,410000.0,False,410000.0,False,391300.0,False,141.503,24801,13605,38406
25,26,Hard,53.0,53.0,True,53.0,True,53.0,True,53.0,True,42.756,8289,4178,12467
26,27,Hard,1146.4142,1146.5665024630541,False,1146.5665024630541,False,1146.5665024630541,False,1146.5665024630541,False,92.520,19793,10565,30358
