index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e6,l1_obj,l1_pass_1e6,l2_obj,l2_pass_1e6,final_obj,final_pass_1e6,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,0,,57.0,53.89647542279121,False,53.89647542279121,False,53.89647542279121,False,53.89647542279121,False,66.647,8049,5677,13726
1,1,,72.0,72.0,True,72.0,True,72.0,True,72.0,True,45.171,4816,4170,8986
2,2,,32.0,31.50877192982456,False,31.50877192982456,False,31.50877192982456,False,31.50877192982456,False,84.017,6965,7170,14135
3,3,,22.0,22.0,True,22.0,True,22.0,True,22.0,True,50.028,4799,4588,9387
4,4,,29.0,29.0,True,29.0,True,29.0,True,29.0,True,62.529,7902,5094,12996
5,5,,26.0,26.0,True,26.0,True,26.0,True,26.0,True,119.495,10280,10443,20723
6,6,,13.0,12.333333333333334,False,12.333333333333334,False,12.333333333333334,False,12.333333333333334,False,84.296,7110,7329,14439
7,7,,10.0,9.7,False,9.7,False,9.7,False,9.7,False,59.737,7080,4951,12031
8,8,,18.0,17.833333333333332,False,17.833333333333332,False,17.833333333333332,False,17.833333333333332,False,90.551,10170,7444,17614
9,9,,9.0,,False,,False,,False,,False,47.939,6588,4504,11092
10,10,,18.0,17.397670549084857,False,17.397670549084857,False,17.397670549084857,False,17.397670549084857,False,54.071,5647,4929,10576
11,11,,49.0,49.0,True,49.0,True,49.0,True,49.0,True,80.645,6968,7005,13973
12,12,,27.0,25.356521739130432,False,25.356521739130432,False,25.356521739130432,False,25.356521739130432,False,76.112,8149,6640,14789
13,13,,14.0,13.413333333333334,False,13.413333333333334,False,13.413333333333334,False,13.413333333333334,False,85.961,7189,7455,14644
14,14,,40.0,40.0,True,40.0,True,40.0,True,40.0,True,59.901,5771,5417,11188
15,15,,18.0,18.0,True,18.0,True,18.0,True,18.0,True,63.178,5767,5534,11301
16,16,,47.0,45.5625,False,45.5625,False,45.5625,False,45.5625,False,73.672,6394,6515,12909
17,17,,22.0,21.2375,False,21.2375,False,21.2375,False,21.2375,False,89.759,7356,8021,15377
18,18,,14.0,12.966101694915254,False,12.966101694915254,False,12.966101694915254,False,12.966101694915254,False,58.574,7013,4969,11982
19,19,,11.0,10.636986301369863,False,10.636986301369863,False,10.636986301369863,False,10.636986301369863,False,41.639,4578,3877,8455
