index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e6,l1_obj,l1_pass_1e6,l2_obj,l2_pass_1e6,final_obj,final_pass_1e6,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,0,,57.0,53.89647542279121,False,53.89647542279121,False,53.89647542279121,False,53.89647542279121,False,20.901,1608,2161,3769
1,1,,72.0,72.0,True,72.0,True,72.0,True,72.0,True,15.616,1396,1652,3048
2,2,,32.0,32.0,True,32.0,True,32.0,True,32.0,True,16.154,1470,1707,3177
3,3,,22.0,22.0,True,22.0,True,22.0,True,22.0,True,12.648,1379,1306,2685
4,4,,29.0,29.0,True,29.0,True,29.0,True,29.0,True,16.497,1660,1740,3400
5,5,,26.0,26.0,True,26.0,True,26.0,True,26.0,True,22.215,1951,2313,4264
6,6,,13.0,12.333333333333334,False,12.333333333333334,False,12.333333333333334,False,12.333333333333334,False,16.540,1486,1745,3231
7,7,,10.0,9.7,False,9.7,False,9.7,False,9.7,False,17.822,1536,1870,3406
8,8,,18.0,17.833333333333332,False,17.833333333333332,False,17.833333333333332,False,17.833333333333332,False,20.413,1940,2242,4182
9,9,,9.0,,False,,False,,False,,False,16.773,1543,1786,3329
10,10,,18.0,17.397670549084857,False,17.397670549084857,False,17.397670549084857,False,17.397670549084857,False,16.666,1631,1819,3450
11,11,,49.0,49.0,True,49.0,True,49.0,True,49.0,True,16.095,1422,1768,3190
12,12,,27.0,25.356521739130432,False,25.356521739130432,False,25.356521739130432,False,25.356521739130432,False,17.076,1420,1859,3279
13,13,,14.0,13.413333333333334,False,13.413333333333334,False,13.413333333333334,False,13.413333333333334,False,15.301,1521,1686,3207
14,14,,40.0,,False,,False,,False,,False,14.087,1577,1578,3155
15,15,,18.0,17.246666666666666,False,17.246666666666666,False,17.246666666666666,False,17.246666666666666,False,12.359,1446,1399,2845
16,16,,47.0,45.5625,False,45.5625,False,45.5625,False,45.5625,False,16.243,1452,1753,3205
17,17,,22.0,21.2375,False,21.2375,False,21.2375,False,21.2375,False,18.201,1651,1957,3608
18,18,,14.0,12.966101694915254,False,12.966101694915254,False,12.966101694915254,False,12.966101694915254,False,16.676,1528,1806,3334
19,19,,11.0,10.636986301369863,False,10.636986301369863,False,10.636986301369863,False,10.636986301369863,False,12.343,1419,1335,2754
20,20,,22.0,22.0,True,22.0,True,22.0,True,22.0,True,16.163,1405,1767,3172
21,21,,30.0,28.993939393939392,False,28.993939393939392,False,28.993939393939392,False,28.993939393939392,False,16.957,1622,1844,3466
22,22,,24.0,23.836849507735582,False,23.836849507735582,False,23.836849507735582,False,23.836849507735582,False,15.410,1445,1680,3125
23,23,,24.0,24.0,True,24.0,True,24.0,True,24.0,True,16.016,1757,1744,3501
24,24,,16.0,16.0,True,16.0,True,16.0,True,16.0,True,17.152,1665,1871,3536
25,25,,31.0,31.0,True,31.0,True,31.0,True,31.0,True,17.754,1598,1929,3527
26,26,,10.0,10.0,True,10.0,True,10.0,True,10.0,True,20.310,1738,2163,3901
27,27,,28.0,28.0,True,28.0,True,28.0,True,28.0,True,16.230,1480,1778,3258
28,28,,18.0,18.0,True,18.0,True,18.0,True,18.0,True,20.508,1980,2195,4175
29,29,,31.0,29.982859531772576,False,29.982859531772576,False,29.982859531772576,False,29.982859531772576,False,15.057,1420,1652,3072
30,30,,31.0,31.0,True,31.0,True,31.0,True,31.0,True,15.571,1584,1705,3289
31,31,,17.0,16.631178707224336,False,16.631178707224336,False,16.631178707224336,False,16.631178707224336,False,17.337,1640,1882,3522
32,32,,44.0,44.0,True,44.0,True,44.0,True,44.0,True,12.955,1495,1367,2862
33,33,,54.0,54.0,True,54.0,True,54.0,True,54.0,True,16.368,1510,1726,3236
34,34,,26.0,25.00921658986175,False,25.00921658986175,False,25.00921658986175,False,25.00921658986175,False,19.155,1666,2017,3683
35,35,,14.0,13.119565217391305,False,13.119565217391305,False,13.119565217391305,False,13.119565217391305,False,13.704,1522,1459,2981
36,36,,47.0,,False,,False,,False,,False,14.566,1414,1550,2964
37,37,,18.0,16.444444444444443,False,16.444444444444443,False,16.444444444444443,False,16.444444444444443,False,10.571,1424,1138,2562
38,38,,15.0,15.0,True,15.0,True,15.0,True,15.0,True,17.295,1653,1843,3496
39,39,,24.0,23.044955044955046,False,23.044955044955046,False,23.044955044955046,False,23.044955044955046,False,22.531,1906,2453,4359
40,40,,2114.0,2114.0,True,2114.0,True,2114.0,True,2114.0,True,17.512,1984,1891,3875
41,41,,8090.0,14256.0,False,14256.0,False,14256.0,False,14256.0,False,16.088,1888,1724,3612
42,42,,5213.0,,False,,False,,False,,False,16.843,2139,1765,3904
43,43,,545.0,,False,,False,,False,,False,15.552,1975,1635,3610
44,44,,6783.0,,False,,False,,False,,False,16.614,2167,1730,3897
45,45,,4813.0,0.0,False,0.0,False,0.0,False,0.0,False,12.989,1383,1395,2778
46,46,,6218.0,,False,,False,,False,,False,16.055,2022,1709,3731
47,47,,715.0,,False,,False,,False,,False,15.580,1918,1659,3577
48,48,,7084.0,,False,,False,,False,,False,17.082,2117,1818,3935
49,49,,4172.0,,False,,False,,False,,False,16.082,1987,1686,3673
50,50,,3609.0,4011.0,False,4011.0,False,4011.0,False,4011.0,False,15.733,1859,1674,3533
51,51,,247.0,,False,,False,,False,,False,12.760,1421,1396,2817
52,52,,13079.0,,False,,False,,False,,False,12.877,1610,1394,3004
53,53,,956.0,,False,,False,,False,,False,15.021,1536,1598,3134
