index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e6,l1_obj,l1_pass_1e6,l2_obj,l2_pass_1e6,final_obj,final_pass_1e6,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,0,,57.0,57.0,True,57.0,True,57.0,True,57.0,True,64.310,10358,5912,16270
1,1,,72.0,72.0,True,72.0,True,72.0,True,72.0,True,36.167,4505,3305,7810
2,2,,32.0,32.0,True,32.0,True,32.0,True,32.0,True,25.929,5836,2297,8133
3,3,,22.0,22.0,True,22.0,True,22.0,True,22.0,True,63.979,10385,5876,16261
4,4,,29.0,29.0,True,29.0,True,29.0,True,29.0,True,53.796,7769,4929,12698
5,5,,26.0,26.0,True,26.0,True,26.0,True,26.0,True,70.781,7358,6448,13806
6,6,,13.0,13.0,True,13.0,True,13.0,True,13.0,True,43.948,4978,4105,9083
7,7,,10.0,10.0,True,10.0,True,10.0,True,10.0,True,71.101,14691,6608,21299
8,8,,18.0,18.0,True,18.0,True,18.0,True,18.0,True,67.428,9998,6246,16244
9,9,,9.0,9.0,True,9.0,True,9.0,True,9.0,True,85.501,12286,7890,20176
10,10,,18.0,18.0,True,18.0,True,18.0,True,18.0,True,66.709,13786,5988,19774
11,11,,49.0,49.0,True,49.0,True,49.0,True,49.0,True,53.082,8527,4852,13379
12,12,,27.0,27.0,True,27.0,True,27.0,True,27.0,True,47.145,7714,4263,11977
13,13,,14.0,14.0,True,14.0,True,14.0,True,14.0,True,51.790,7611,4750,12361
14,14,,40.0,40.0,True,40.0,True,40.0,True,40.0,True,78.814,12266,7245,19511
15,15,,18.0,18.0,True,18.0,True,18.0,True,18.0,True,52.236,5783,4869,10652
16,16,,47.0,47.0,True,47.0,True,47.0,True,47.0,True,45.635,7901,4170,12071
17,17,,22.0,22.0,True,22.0,True,22.0,True,22.0,True,55.444,9258,5149,14407
18,18,,14.0,14.0,True,14.0,True,14.0,True,14.0,True,41.209,5132,3899,9031
19,19,,11.0,11.0,True,11.0,True,11.0,True,11.0,True,44.782,7814,4259,12073
20,20,,22.0,22.0,True,22.0,True,22.0,True,22.0,True,46.006,7953,4261,12214
21,21,,30.0,30.0,True,30.0,True,30.0,True,30.0,True,49.610,5681,4576,10257
22,22,,24.0,24.0,True,24.0,True,24.0,True,24.0,True,49.170,5988,4559,10547
23,23,,24.0,24.0,True,24.0,True,24.0,True,24.0,True,65.231,9211,5976,15187
24,24,,16.0,16.0,True,16.0,True,16.0,True,16.0,True,55.488,8018,5116,13134
25,25,,31.0,31.0,True,31.0,True,31.0,True,31.0,True,66.105,10618,6208,16826
26,26,,10.0,10.0,True,10.0,True,10.0,True,10.0,True,84.462,12294,7751,20045
27,27,,28.0,28.0,True,28.0,True,28.0,True,28.0,True,45.878,7990,4272,12262
28,28,,18.0,18.0,True,18.0,True,18.0,True,18.0,True,76.182,10608,6987,17595
29,29,,31.0,31.0,True,31.0,True,31.0,True,31.0,True,37.549,4611,3423,8034
30,30,,31.0,31.0,True,31.0,True,31.0,True,31.0,True,42.224,5231,3936,9167
31,31,,17.0,17.0,True,17.0,True,17.0,True,17.0,True,56.613,8240,5248,13488
32,32,,44.0,44.0,True,44.0,True,44.0,True,44.0,True,59.904,10226,5600,15826
33,33,,54.0,54.0,True,54.0,True,54.0,True,54.0,True,54.164,8773,4979,13752
34,34,,26.0,26.0,True,26.0,True,26.0,True,26.0,True,79.095,14386,7259,21645
35,35,,14.0,14.0,True,14.0,True,14.0,True,14.0,True,67.724,11388,6169,17557
36,36,,47.0,47.0,True,47.0,True,47.0,True,47.0,True,36.278,4481,3224,7705
37,37,,18.0,18.0,True,18.0,True,18.0,True,18.0,True,40.170,6282,3680,9962
38,38,,15.0,15.0,True,15.0,True,15.0,True,15.0,True,70.515,10815,6534,17349
39,39,,24.0,24.0,True,24.0,True,24.0,True,24.0,True,70.105,11229,6413,17642
40,40,,2114.0,,False,,False,,False,,False,38.307,8150,3657,11807
41,41,,8090.0,,False,,False,,False,,False,99.737,13714,9688,23402
42,42,,5213.0,,False,,False,,False,,False,33.876,10351,3202,13553
43,43,,545.0,,False,,False,,False,,False,43.663,8216,4241,12457
44,44,,6783.0,,False,,False,,False,,False,29.020,9047,2783,11830
45,45,,4813.0,,False,,False,,False,,False,48.601,8088,4703,12791
46,46,,6218.0,,False,6218.0,True,6218.0,True,6218.0,True,87.924,14391,7889,22280
47,47,,715.0,,False,,False,,False,,False,39.731,8536,3811,12347
48,48,,7084.0,,False,,False,,False,,False,37.010,8895,3501,12396
49,49,,4172.0,,False,,False,,False,,False,35.172,10881,3351,14232
50,50,,3609.0,3197.0,False,3197.0,False,3197.0,False,3197.0,False,17.651,4242,1517,5759
51,51,,247.0,247.0,True,247.0,True,247.0,True,247.0,True,45.048,5413,4165,9578
52,52,,13079.0,13079.0,True,13079.0,True,13079.0,True,13079.0,True,31.197,5727,2927,8654
53,53,,956.0,2946.0,False,2946.0,False,2946.0,False,2946.0,False,23.173,3882,2161,6043
54,54,,1600.0,,False,,False,,False,,False,42.234,7800,4172,11972
55,55,,2041.0,,False,,False,,False,,False,86.253,13527,8497,22024
56,56,,1494.0,,False,,False,,False,,False,27.346,5723,2711,8434
57,57,,1490.0,,False,,False,,False,,False,33.883,8070,3320,11390
58,58,,1324.0,,False,,False,,False,,False,32.108,8022,3164,11186
59,59,,245.0,213.0,False,213.0,False,213.0,False,213.0,False,47.619,7463,4392,11855
60,60,,121.0,60.0,False,60.0,False,60.0,False,60.0,False,51.262,10554,4692,15246
61,61,,165.0,142.0,False,142.0,False,142.0,False,142.0,False,52.456,10762,4881,15643
62,62,,127.0,50.0,False,50.0,False,50.0,False,50.0,False,61.791,13391,5687,19078
63,63,,173.0,173.0,True,173.0,True,173.0,True,173.0,True,85.277,13657,7920,21577
64,64,,213.0,,False,194.0,False,194.0,False,194.0,False,40.163,10065,3592,13657
65,65,,232.0,206.0,False,206.0,False,206.0,False,206.0,False,108.286,17567,9796,27363
66,66,,233.0,228.0,False,228.0,False,228.0,False,233.0,True,117.159,22466,10670,33136
67,67,,257.0,257.0,True,257.0,True,257.0,True,257.0,True,52.047,7188,4742,11930
68,68,,175.0,158.0,False,158.0,False,158.0,False,158.0,False,49.807,8018,4446,12464
69,69,,-9999.0,2060.0,False,2060.0,False,2060.0,False,2110.0,False,49.622,10395,4613,15008
70,70,,153.0,138.0,False,138.0,False,138.0,False,138.0,False,60.889,13599,5510,19109
71,71,,160.0,138.0,False,138.0,False,138.0,False,138.0,False,115.251,18444,10380,28824
72,72,,159.0,140.0,False,140.0,False,140.0,False,140.0,False,19.727,3897,1755,5652
73,73,,158.0,158.0,True,158.0,True,158.0,True,158.0,True,51.803,7607,4707,12314
74,74,,261.0,240.0,False,240.0,False,240.0,False,240.0,False,51.454,10546,4705,15251
75,75,,211.0,206.0,False,206.0,False,206.0,False,206.0,False,80.439,14529,7284,21813
76,76,,237.0,165.0,False,165.0,False,165.0,False,237.0,True,88.587,16417,8104,24521
77,77,,260.0,248.0,False,248.0,False,248.0,False,248.0,False,52.841,10396,4780,15176
78,78,,269.0,,False,242.0,False,242.0,False,242.0,False,146.265,22981,13265,36246
79,79,,251.0,241.0,False,241.0,False,241.0,False,251.0,True,56.935,10281,5121,15402
80,80,,182.0,140.0,False,140.0,False,140.0,False,140.0,False,62.606,13748,5774,19522
81,81,,212.0,199.0,False,199.0,False,199.0,False,199.0,False,51.855,7494,4692,12186
82,82,,145.0,138.0,False,138.0,False,138.0,False,145.0,True,59.920,12373,5458,17831
83,83,,203.0,203.0,True,203.0,True,203.0,True,203.0,True,50.263,8002,4496,12498
84,84,,216.0,210.0,False,210.0,False,210.0,False,210.0,False,123.080,20742,11035,31777
85,85,,284.0,252.0,False,252.0,False,252.0,False,252.0,False,121.997,22878,11021,33899
86,86,,212.0,212.0,True,212.0,True,212.0,True,212.0,True,53.411,7784,4959,12743
87,87,,229.0,204.0,False,204.0,False,204.0,False,204.0,False,45.524,7832,4136,11968
88,88,,175.0,134.0,False,134.0,False,134.0,False,134.0,False,79.669,13760,7156,20916
89,89,,299.0,275.0,False,275.0,False,275.0,False,275.0,False,86.749,18233,7859,26092
90,90,,154.0,124.0,False,124.0,False,124.0,False,154.0,True,93.301,16663,8523,25186
91,91,,249.0,148.0,False,148.0,False,148.0,False,148.0,False,94.405,15734,8521,24255
92,92,,198.0,192.0,False,192.0,False,192.0,False,192.0,False,61.731,10785,5044,15829
93,93,,176.0,160.0,False,160.0,False,160.0,False,176.0,True,60.843,12814,5554,18368
94,94,,270.0,242.0,False,242.0,False,242.0,False,242.0,False,62.262,13580,5704,19284
95,95,,165.0,,False,,False,,False,,False,32.314,5396,3086,8482
96,96,,191.0,162.0,False,162.0,False,162.0,False,162.0,False,145.590,27089,13113,40202
97,97,,136.0,56.0,False,56.0,False,56.0,False,56.0,False,54.688,10588,5168,15756
98,98,,169.0,150.0,False,150.0,False,150.0,False,150.0,False,58.679,13595,5433,19028
99,99,,46.0,46.0,True,46.0,True,46.0,True,46.0,True,105.860,12442,9833,22275
100,100,,96.0,96.0,True,96.0,True,96.0,True,96.0,True,165.791,17113,14921,32034
101,101,,22.0,-0.0,False,-0.0,False,-0.0,False,-0.0,False,109.732,16803,9902,26705
102,102,,46.0,59.0,False,59.0,False,59.0,False,59.0,False,133.441,20436,11864,32300
103,103,,35.0,35.0,True,35.0,True,35.0,True,35.0,True,142.764,15019,12790,27809
104,104,,72.0,72.0,True,72.0,True,72.0,True,15.0,False,239.170,27463,21417,48880
105,105,,62.0,62.0,True,62.0,True,62.0,True,62.0,True,159.339,16812,14045,30857
106,106,,90.0,102.0,False,102.0,False,102.0,False,102.0,False,189.628,20087,16683,36770
107,107,,33.0,65.0,False,65.0,False,65.0,False,65.0,False,113.702,12057,10002,22059
108,108,,56.0,56.0,True,56.0,True,56.0,True,56.0,True,139.090,13918,12261,26179
109,109,,52.0,79.0,False,79.0,False,79.0,False,79.0,False,177.645,18019,15915,33934
110,110,,32.0,32.0,True,32.0,True,32.0,True,32.0,True,83.843,10082,7346,17428
111,111,,69.0,74.0,False,74.0,False,74.0,False,74.0,False,145.373,15467,12889,28356
112,112,,60.0,60.0,True,60.0,True,60.0,True,60.0,True,165.469,17343,15168,32511
113,113,,54.0,58.0,False,58.0,False,58.0,False,58.0,False,80.480,10285,7308,17593
114,114,,58.0,-0.0,False,-0.0,False,-0.0,False,58000.0,False,108.243,15249,9913,25162
115,115,,39.0,70.0,False,70.0,False,70.0,False,70.0,False,132.129,14367,12182,26549
116,116,,81.0,81.0,True,81.0,True,81.0,True,81.0,True,51.020,8493,4577,13070
117,117,,86.0,,False,68.0,False,68.0,False,68.0,False,177.049,20105,16128,36233
118,118,,63.0,63.0,True,63.0,True,63.0,True,63.0,True,154.517,16308,13935,30243
119,119,,38.0,-0.0,False,-0.0,False,-0.0,False,-0.0,False,72.106,9468,6617,16085
120,120,,61.0,61.0,True,61.0,True,61.0,True,61.0,True,202.226,20402,18390,38792
121,121,,54.0,54.0,True,54.0,True,54.0,True,54.0,True,153.559,16564,13762,30326
122,122,,52.0,82.0,False,82.0,False,82.0,False,82.0,False,134.869,13754,12056,25810
123,123,,78.0,78.0,True,78.0,True,78.0,True,78.0,True,171.790,17082,15292,32374
124,124,,60.0,,False,60.0,True,60.0,True,60.0,True,191.576,20479,17187,37666
125,125,,51.0,51.0,True,51.0,True,51.0,True,51.0,True,183.284,19627,16515,36142
126,126,,62.0,76.0,False,76.0,False,76.0,False,76.0,False,138.124,14076,12575,26651
127,127,,47.0,,False,,False,,False,,False,40.807,9754,3702,13456
128,128,,72.0,72.0,True,72.0,True,72.0,True,72.0,True,132.024,15072,12376,27448
129,129,,49.0,66.0,False,66.0,False,66.0,False,66.0,False,94.921,11597,8620,20217
130,130,,62.0,72.0,False,72.0,False,72.0,False,72.0,False,98.953,11969,9457,21426
131,131,,68.0,,False,,False,,False,,False,60.250,10142,5598,15740
132,132,,42.0,42.0,True,42.0,True,42.0,True,42.0,True,165.477,17714,14960,32674
133,133,,73.0,123.0,False,123.0,False,123.0,False,123.0,False,46.352,8610,4407,13017
134,134,,89.0,80.0,False,80.0,False,80.0,False,80.0,False,216.813,22809,19268,42077
135,135,,63.0,63000.0,False,63000.0,False,63000.0,False,63000.0,False,182.337,20056,16207,36263
136,136,,44.0,44.0,True,44.0,True,44.0,True,44.0,True,108.180,12118,9741,21859
137,137,,43.0,,False,,False,,False,,False,29.050,6965,2858,9823
138,138,,22.0,46.0,False,46.0,False,46.0,False,46.0,False,100.436,11387,8850,20237
139,139,,446011.0,446011.0,True,446011.0,True,446011.0,True,446011.0,True,60.414,12550,5216,17766
140,140,,554968.0,554968.0,True,554968.0,True,554968.0,True,554968.0,True,82.501,15805,7052,22857
141,141,,469200.0,469200.0,True,469200.0,True,469200.0,True,469200.0,True,55.146,10609,4634,15243
142,142,,394338.0,394338.0,True,394338.0,True,394338.0,True,394338.0,True,20.750,5998,1757,7755
143,143,,587428.0,587428.0,True,587428.0,True,587428.0,True,587428.0,True,59.651,10253,4933,15186
144,144,,637573.0,637573.0,True,637573.0,True,637573.0,True,637573.0,True,58.621,13111,4859,17970
145,145,,556908.0,556908.0,True,556908.0,True,556908.0,True,556908.0,True,100.969,23720,8392,32112
146,146,,490293.0,490293.0,True,490293.0,True,490293.0,True,490293.0,True,67.459,13808,5586,19394
147,147,,273940.0,273940.0,True,273940.0,True,273940.0,True,273940.0,True,44.959,11038,3777,14815
148,148,,469200.0,469200.0,True,469200.0,True,469200.0,True,469200.0,True,46.842,9896,3934,13830
149,149,,587428.0,590818.0,False,590818.0,False,590818.0,False,590818.0,False,78.834,17440,6665,24105
150,150,,329872.0,329872.0,True,329872.0,True,329872.0,True,329872.0,True,104.811,24119,8830,32949
151,151,,402947.0,402947.0,True,402947.0,True,402947.0,True,402947.0,True,75.996,18975,6544,25519
152,152,,392760.0,392760.0,True,392760.0,True,392760.0,True,392760.0,True,67.912,15733,5759,21492
153,153,,443177.0,443177.0,True,443177.0,True,443177.0,True,443177.0,True,19.758,6391,1749,8140
154,154,,394198.0,394198.0,True,394198.0,True,394198.0,True,394198.0,True,80.916,20247,6913,27160
155,155,,434081.0,434081.0,True,434081.0,True,434081.0,True,434081.0,True,65.628,13618,5534,19152
156,156,,240385.0,240385.0,True,240385.0,True,240385.0,True,240385.0,True,79.198,16981,6712,23693
157,157,,722476.0,722476.0,True,722476.0,True,722476.0,True,722476.0,True,70.556,16073,6058,22131
158,158,,485771.0,485771.0,True,485771.0,True,485771.0,True,485771.0,True,83.087,19781,7237,27018
159,159,,316282.0,316282.0,True,316282.0,True,316282.0,True,316282.0,True,19.941,4646,1761,6407
160,160,,394338.0,394338.0,True,394338.0,True,394338.0,True,394338.0,True,19.455,6158,1724,7882
161,161,,608437.0,608437.0,True,608437.0,True,608437.0,True,608437.0,True,69.433,14686,5864,20550
162,162,,273940.0,273940.0,True,273940.0,True,273940.0,True,273940.0,True,83.050,13451,7263,20714
163,163,,585022.0,585022.0,True,585022.0,True,585022.0,True,585022.0,True,82.286,19224,7108,26332
164,164,,461962.0,461962.0,True,461962.0,True,461962.0,True,461962.0,True,63.206,14888,5571,20459
165,165,,637573.0,637573.0,True,637573.0,True,637573.0,True,637573.0,True,61.293,13694,5351,19045
166,166,,394198.0,394198.0,True,394198.0,True,394198.0,True,394198.0,True,82.837,18333,7261,25594
167,167,,608437.0,608437.0,True,608437.0,True,608437.0,True,608437.0,True,66.625,14780,5861,20641
168,168,,393863.0,393863.0,True,393863.0,True,393863.0,True,393863.0,True,78.723,19275,7295,26570
169,169,,21600.0,,False,21600.0,True,21600.0,True,21600.0,True,38.466,5773,3635,9408
170,170,,4.0,4.0,True,4.0,True,4.0,True,4.0,True,12.844,2189,1126,3315
171,171,,8.0,8.0,True,8.0,True,8.0,True,8.0,True,12.487,2247,1092,3339
172,172,,17.0,16.666666666666668,False,16.666666666666668,False,16.666666666666668,False,16.666666666666668,False,13.225,2855,1288,4143
173,173,,12.0,12.333333333333332,False,12.333333333333332,False,12.333333333333332,False,12.333333333333332,False,15.958,2784,1562,4346
