index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e6,l1_obj,l1_pass_1e6,l2_obj,l2_pass_1e6,final_obj,final_pass_1e6,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,0,,57.0,57.0,True,57.0,True,57.0,True,57.0,True,15.025,1612,1506,3118
1,1,,72.0,72.0,True,72.0,True,72.0,True,72.0,True,10.156,1380,1009,2389
2,2,,32.0,32.0,True,32.0,True,32.0,True,32.0,True,9.427,1298,927,2225
3,3,,22.0,22.0,True,22.0,True,22.0,True,22.0,True,12.593,1606,1287,2893
4,4,,29.0,29.0,True,29.0,True,29.0,True,29.0,True,13.412,1664,1367,3031
5,5,,26.0,26.0,True,26.0,True,26.0,True,26.0,True,17.530,1951,1776,3727
6,6,,13.0,13.0,True,13.0,True,13.0,True,13.0,True,10.421,1470,1033,2503
7,7,,10.0,10.0,True,10.0,True,10.0,True,10.0,True,11.778,1543,1193,2736
8,8,,18.0,18.0,True,18.0,True,18.0,True,18.0,True,13.609,1937,1455,3392
9,9,,9.0,9.0,True,9.0,True,9.0,True,9.0,True,15.181,1852,1613,3465
10,10,,18.0,18.0,True,18.0,True,18.0,True,18.0,True,11.139,1632,1184,2816
11,11,,49.0,49.0,True,49.0,True,49.0,True,49.0,True,11.744,1426,1244,2670
12,12,,27.0,27.0,True,27.0,True,27.0,True,27.0,True,9.193,1408,950,2358
13,13,,14.0,14.0,True,14.0,True,14.0,True,14.0,True,11.959,1521,1261,2782
14,14,,40.0,40.0,True,40.0,True,40.0,True,40.0,True,16.216,1821,1769,3590
15,15,,18.0,18.0,True,18.0,True,18.0,True,18.0,True,13.654,1623,1491,3114
16,16,,47.0,47.0,True,47.0,True,47.0,True,47.0,True,9.662,1456,1041,2497
17,17,,22.0,22.0,True,22.0,True,22.0,True,22.0,True,10.985,1656,1186,2842
18,18,,14.0,14.0,True,14.0,True,14.0,True,14.0,True,11.215,1538,1190,2728
19,19,,11.0,11.0,True,11.0,True,11.0,True,11.0,True,9.569,1419,1025,2444
20,20,,22.0,22.0,True,22.0,True,22.0,True,22.0,True,10.975,1410,1146,2556
21,21,,30.0,30.0,True,30.0,True,30.0,True,30.0,True,13.041,1635,1363,2998
22,22,,24.0,24.0,True,24.0,True,24.0,True,24.0,True,12.015,1701,1260,2961
23,23,,24.0,24.0,True,24.0,True,24.0,True,24.0,True,14.177,1952,1505,3457
24,24,,16.0,16.0,True,16.0,True,16.0,True,16.0,True,14.634,1672,1554,3226
25,25,,31.0,31.0,True,31.0,True,31.0,True,31.0,True,14.699,1605,1560,3165
26,26,,10.0,10.0,True,10.0,True,10.0,True,10.0,True,15.632,1738,1642,3380
27,27,,28.0,28.0,True,28.0,True,28.0,True,28.0,True,8.275,1480,865,2345
28,28,,18.0,18.0,True,18.0,True,18.0,True,18.0,True,21.347,1977,2312,4289
29,29,,31.0,31.0,True,31.0,True,31.0,True,31.0,True,10.231,1428,1101,2529
30,30,,31.0,31.0,True,31.0,True,31.0,True,31.0,True,11.112,1591,1184,2775
