index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e4,cot_pass_1e2,l1_obj,l1_pass_1e4,l1_pass_1e2,l2_obj,l2_pass_1e4,l2_pass_1e2,final_obj,final_pass_1e4,final_pass_1e2,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,0,,1006432.0,,False,False,,False,False,,False,False,,False,False,88.084,14447,7041,21488
1,1,,1004271.5,,False,False,,False,False,,False,False,,False,False,94.040,14583,7383,21966
2,2,,1026462.5,,False,False,,False,False,,False,False,,False,False,89.998,14583,7127,21710
3,3,,1006574.5,,False,False,,False,False,,False,False,,False,False,91.668,14583,7249,21832
4,4,,1006442.5,,False,False,,False,False,,False,False,,False,False,86.020,14577,6884,21461
5,5,,378951.5,,False,False,,False,False,,False,False,,False,False,66.382,8991,5035,14026
6,6,,379803.0,,False,False,,False,False,,False,False,,False,False,62.883,9127,4834,13961
7,7,,391558.5,,False,False,,False,False,,False,False,,False,False,56.232,9125,4653,13778
8,8,,370433.5,,False,False,,False,False,,False,False,,False,False,59.782,9127,4803,13930
9,9,,371353.0,,False,False,,False,False,,False,False,,False,False,57.499,9121,4904,14025
10,10,,378951.5,,False,False,,False,False,,False,False,,False,False,55.690,8455,4770,13225
11,11,,367896.0,,False,False,,False,False,,False,False,,False,False,53.355,8416,4720,13136
12,12,,379063.0,,False,False,,False,False,,False,False,,False,False,52.456,8593,4634,13227
13,13,,377421.5,,False,False,,False,False,,False,False,,False,False,52.532,8414,4715,13129
14,14,,385802.5,,False,False,,False,False,,False,False,,False,False,53.474,8416,4701,13117
15,15,,502325.0,,False,False,,False,False,,False,False,,False,False,49.288,8411,4491,12902
16,16,,516420.0,,False,False,,False,False,,False,False,,False,False,50.899,8543,4574,13117
17,17,,512565.0,,False,False,,False,False,,False,False,,False,False,51.825,8549,4601,13150
18,18,,480555.0,,False,False,,False,False,,False,False,,False,False,53.280,8543,4757,13300
19,19,,539060.0,,False,False,,False,False,,False,False,,False,False,54.310,8551,4763,13314
20,20,,362918.5,,False,False,,False,False,,False,False,,False,False,49.559,8485,4408,12893
21,21,,367019.0,,False,False,,False,False,,False,False,,False,False,50.533,8601,4510,13111
22,22,,352674.0,,False,False,,False,False,,False,False,,False,False,51.718,8603,4587,13190
23,23,,355445.5,,False,False,,False,False,,False,False,,False,False,52.087,8603,4632,13235
24,24,,367405.0,,False,False,,False,False,,False,False,,False,False,60.924,8603,5254,13857
25,25,,347594.0,,False,False,,False,False,,False,False,,False,False,53.224,8573,4733,13306
26,26,,348252.0,,False,False,,False,False,,False,False,,False,False,56.015,8707,5046,13753
27,27,,342916.0,,False,False,,False,False,,False,False,,False,False,57.392,8703,5087,13790
28,28,,348595.0,,False,False,,False,False,,False,False,,False,False,55.913,8707,4885,13592
29,29,,346881.0,,False,False,,False,False,,False,False,,False,False,53.781,8703,4804,13507
30,30,,378951.5,,False,False,,False,False,,False,False,,False,False,47.298,8194,4266,12460
31,31,,399083.5,,False,False,,False,False,,False,False,,False,False,49.416,8507,4548,13055
32,32,,372422.0,,False,False,,False,False,,False,False,,False,False,48.397,8507,4414,12921
33,33,,406316.5,,False,False,,False,False,,False,False,,False,False,51.341,8505,4530,13035
34,34,,385892.0,,False,False,,False,False,,False,False,,False,False,51.877,8501,4587,13088
35,35,,365474.5,,False,False,,False,False,,False,False,,False,False,51.319,8489,4528,13017
36,36,,368586.0,,False,False,,False,False,,False,False,,False,False,55.982,8625,4866,13491
37,37,,384738.5,,False,False,,False,False,,False,False,,False,False,52.217,8621,4622,13243
38,38,,361787.5,,False,False,,False,False,,False,False,,False,False,51.349,8623,4579,13202
39,39,,362825.0,,False,False,,False,False,,False,False,,False,False,56.585,8621,4973,13594
40,40,,539902.33,,False,False,,False,False,,False,False,,False,False,48.407,8482,4328,12810
41,41,,522743.92,,False,False,,False,False,,False,False,,False,False,49.804,8504,4564,13068
42,42,,546708.5,,False,False,,False,False,,False,False,,False,False,51.088,8616,4584,13200
43,43,,542136.08,,False,False,,False,False,,False,False,,False,False,52.046,8616,4697,13313
44,44,,540282.08,,False,False,,False,False,,False,False,,False,False,52.412,8618,4678,13296
45,45,,454980.0,,False,False,,False,False,,False,False,,False,False,56.806,7371,5051,12422
46,46,,469130.5,,False,False,,False,False,,False,False,,False,False,51.445,7919,4681,12600
47,47,,443865.5,,False,False,,False,False,,False,False,,False,False,50.079,7921,4592,12513
48,48,,424617.5,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,78.721,7921,7021,14942
49,49,,472643.5,,False,False,,False,False,,False,False,,False,False,49.711,7917,4532,12449
50,50,,429782.4,,False,False,,False,False,,False,False,,False,False,46.778,8377,4331,12708
51,51,,428363.7,,False,False,,False,False,,False,False,,False,False,49.487,8495,4376,12871
52,52,,405046.03,,False,False,,False,False,,False,False,,False,False,48.815,8320,4362,12682
53,53,,428965.89,,False,False,,False,False,,False,False,,False,False,53.634,8497,4788,13285
54,54,,424383.49,,False,False,,False,False,,False,False,,False,False,48.598,8487,4343,12830
55,55,,1021145.0,,False,False,,False,False,,False,False,,False,False,55.010,8569,4855,13424
56,56,,1026458.0,,False,False,,False,False,,False,False,,False,False,56.746,8671,4985,13656
57,57,,1014502.0,,False,False,,False,False,,False,False,,False,False,52.165,8657,4598,13255
58,58,,1047182.0,,False,False,,False,False,,False,False,,False,False,51.159,8655,4549,13204
59,59,,1009032.0,,False,False,,False,False,,False,False,,False,False,53.424,8665,4752,13417
60,60,,735284.93,,False,False,,False,False,,False,False,,False,False,49.734,8265,4455,12720
61,61,,739353.78,,False,False,,False,False,,False,False,,False,False,50.223,8389,4458,12847
62,62,,771200.16,,False,False,,False,False,,False,False,,False,False,50.192,8389,4458,12847
63,63,,714169.2,,False,False,,False,False,,False,False,,False,False,49.209,8387,4421,12808
64,64,,693650.01,,False,False,,False,False,,False,False,,False,False,51.176,8383,4470,12853
65,65,,409419.62,,False,False,,False,False,,False,False,,False,False,47.316,8291,4151,12442
66,66,,414093.56,,False,False,,False,False,,False,False,,False,False,49.362,8421,4386,12807
67,67,,402309.0,,False,False,,False,False,,False,False,,False,False,53.652,8421,4792,13213
68,68,,399819.62,,False,False,,False,False,,False,False,,False,False,55.508,8425,4942,13367
69,69,,399408.82,,False,False,,False,False,,False,False,,False,False,50.958,8423,4549,12972
70,70,,562717.5,,False,False,,False,False,,False,False,,False,False,44.975,8114,4049,12163
71,71,,596190.0,,False,False,,False,False,,False,False,,False,False,52.028,8429,4591,13020
72,72,,555907.0,,False,False,,False,False,,False,False,,False,False,51.625,8423,4606,13029
73,73,,585562.5,,False,False,,False,False,,False,False,,False,False,51.814,8425,4625,13050
74,74,,575165.0,,False,False,,False,False,,False,False,,False,False,48.476,8421,4278,12699
75,75,,621810.5,,False,False,,False,False,,False,False,,False,False,45.108,8140,3924,12064
76,76,,596280.5,,False,False,,False,False,,False,False,,False,False,47.317,8449,4161,12610
77,77,,628599.5,,False,False,,False,False,,False,False,,False,False,47.090,8451,4139,12590
78,78,,621677.5,,False,False,,False,False,,False,False,,False,False,47.629,8447,4202,12649
79,79,,620242.5,,False,False,,False,False,,False,False,,False,False,46.085,8453,4101,12554
80,80,,595032.0,,False,False,,False,False,,False,False,,False,False,50.501,8275,4395,12670
81,81,,554930.0,,False,False,,False,False,,False,False,,False,False,46.585,8403,4137,12540
82,82,,596084.5,,False,False,,False,False,,False,False,,False,False,50.033,8413,4445,12858
83,83,,585244.5,,False,False,,False,False,,False,False,,False,False,47.962,8411,4225,12636
84,84,,621889.5,,False,False,,False,False,,False,False,,False,False,46.738,8403,4093,12496
85,85,,566687.5,,False,False,,False,False,,False,False,,False,False,47.816,8170,4204,12374
86,86,,546510.5,,False,False,,False,False,,False,False,,False,False,47.467,8412,4169,12581
87,87,,556194.0,,False,False,,False,False,,False,False,,False,False,49.236,8479,4360,12839
88,88,,565214.0,,False,False,,False,False,,False,False,,False,False,47.403,8479,4221,12700
89,89,,550111.0,,False,False,,False,False,,False,False,,False,False,47.388,8483,4223,12706
90,90,,586968.0,,False,False,,False,False,,False,False,,False,False,46.256,8178,4044,12222
91,91,,581911.0,,False,False,,False,False,,False,False,,False,False,51.572,8489,4606,13095
92,92,,653731.0,,False,False,,False,False,,False,False,,False,False,50.107,8479,4450,12929
93,93,,603673.5,,False,False,,False,False,,False,False,,False,False,51.484,8481,4594,13075
94,94,,613811.0,,False,False,,False,False,,False,False,,False,False,54.444,8485,4725,13210
95,95,,484996.5,,False,False,,False,False,,False,False,,False,False,48.715,8258,4268,12526
96,96,,496085.0,,False,False,,False,False,,False,False,,False,False,48.305,8571,4244,12815
97,97,,516706.5,,False,False,,False,False,,False,False,,False,False,48.310,8508,4307,12815
98,98,,476425.5,,False,False,,False,False,,False,False,,False,False,50.406,8565,4402,12967
99,99,,498825.0,,False,False,,False,False,,False,False,,False,False,49.915,8502,4352,12854
100,100,,5783150.0,,False,False,,False,False,,False,False,,False,False,51.120,8435,4481,12916
101,101,,5715150.0,,False,False,,False,False,,False,False,,False,False,51.618,8571,4535,13106
102,102,,5800830.0,,False,False,,False,False,,False,False,,False,False,50.279,8567,4459,13026
103,103,,5759780.0,,False,False,,False,False,,False,False,,False,False,56.706,8575,5102,13677
104,104,,5721560.0,,False,False,,False,False,,False,False,,False,False,49.708,8565,4426,12991
105,105,,1428630.0,,False,False,,False,False,,False,False,,False,False,31.194,8005,2775,10780
106,106,,1429573.41,,False,False,,False,False,,False,False,,False,False,50.141,8417,4443,12860
107,107,,1410267.58,,False,False,,False,False,,False,False,,False,False,50.941,8425,4528,12953
108,108,,1436742.02,,False,False,,False,False,,False,False,,False,False,51.014,8423,4531,12954
109,109,,1464342.93,,False,False,,False,False,,False,False,,False,False,51.203,8421,4488,12909
110,110,,659015.8,,False,False,,False,False,,False,False,,False,False,51.034,8327,4534,12861
111,111,,667215.07,,False,False,,False,False,,False,False,,False,False,48.401,8451,4248,12699
112,112,,671493.21,,False,False,,False,False,,False,False,,False,False,50.933,8447,4523,12970
113,113,,661575.96,,False,False,,False,False,,False,False,,False,False,50.059,8449,4419,12868
114,114,,670873.86,,False,False,,False,False,,False,False,,False,False,51.900,8447,4670,13117
115,115,,694823.0,,False,False,,False,False,,False,False,,False,False,47.653,8445,4151,12596
116,116,,686020.85,,False,False,,False,False,,False,False,,False,False,47.725,8567,4162,12729
117,117,,709631.25,,False,False,,False,False,,False,False,,False,False,49.686,8702,4426,13128
118,118,,664512.16,,False,False,,False,False,,False,False,,False,False,47.038,8567,4143,12710
119,119,,736925.88,,False,False,,False,False,,False,False,,False,False,48.175,8563,4198,12761
