index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e4,cot_pass_1e2,l1_obj,l1_pass_1e4,l1_pass_1e2,l2_obj,l2_pass_1e4,l2_pass_1e2,final_obj,final_pass_1e4,final_pass_1e2,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,0,,1006432.0,,False,False,,False,False,,False,False,,False,False,608.232,68574,43900,112474
1,1,,1004271.5,,False,False,,False,False,,False,False,,False,False,554.226,69282,39786,109068
2,2,,1026462.5,,False,False,,False,False,,False,False,,False,False,561.704,75558,40323,115881
3,3,,1006574.5,,False,False,,False,False,,False,False,,False,False,589.312,64647,42606,107253
4,4,,1006442.5,,False,False,,False,False,,False,False,,False,False,502.163,62405,36145,98550
5,5,,378951.5,,False,False,0.0,False,False,0.0,False,False,0.0,False,False,523.937,57085,37481,94566
6,6,,379803.0,,False,False,,False,False,,False,False,,False,False,431.345,48626,31574,80200
7,7,,391558.5,,False,False,,False,False,,False,False,,False,False,718.223,75174,52606,127780
8,8,,370433.5,,False,False,,False,False,,False,False,,False,False,477.133,50679,35867,86546
9,9,,371353.0,,False,False,,False,False,,False,False,,False,False,368.913,48887,28430,77317
10,10,,378951.5,,False,False,,False,False,,False,False,,False,False,484.195,54993,37746,92739
11,11,,367896.0,,False,False,,False,False,,False,False,,False,False,323.845,39255,25347,64602
12,12,,379063.0,,False,False,,False,False,,False,False,,False,False,376.593,40656,29211,69867
13,13,,377421.5,,False,False,,False,False,,False,False,,False,False,379.820,45406,29408,74814
14,14,,385802.5,,False,False,,False,False,,False,False,,False,False,453.024,51452,35526,86978
15,15,,502325.0,,False,False,,False,False,,False,False,,False,False,453.948,55761,35206,90967
16,16,,516420.0,,False,False,,False,False,,False,False,,False,False,471.959,48377,36469,84846
17,17,,512565.0,,False,False,,False,False,,False,False,,False,False,418.497,39461,32488,71949
18,18,,480555.0,,False,False,,False,False,,False,False,,False,False,475.577,56188,36643,92831
19,19,,539060.0,,False,False,,False,False,,False,False,,False,False,499.729,53423,38823,92246
20,20,,362918.5,,False,False,,False,False,,False,False,,False,False,413.568,48355,31989,80344
21,21,,367019.0,,False,False,,False,False,,False,False,,False,False,439.194,49759,33809,83568
22,22,,352674.0,,False,False,,False,False,,False,False,,False,False,516.049,54136,39844,93980
23,23,,355445.5,,False,False,,False,False,,False,False,,False,False,403.605,46512,31364,77876
24,24,,367405.0,,False,False,,False,False,,False,False,,False,False,413.817,36737,32711,69448
25,25,,347594.0,,False,False,,False,False,,False,False,,False,False,410.566,35621,32233,67854
26,26,,348252.0,,False,False,,False,False,,False,False,,False,False,464.667,56164,36935,93099
27,27,,342916.0,,False,False,,False,False,,False,False,,False,False,452.395,45563,36036,81599
28,28,,348595.0,,False,False,,False,False,,False,False,,False,False,421.992,46959,33531,80490
29,29,,346881.0,,False,False,,False,False,,False,False,,False,False,508.216,54008,40379,94387
30,30,,378951.5,,False,False,,False,False,,False,False,,False,False,423.113,46249,33758,80007
31,31,,399083.5,,False,False,,False,False,,False,False,,False,False,335.889,45837,26732,72569
32,32,,372422.0,,False,False,,False,False,,False,False,,False,False,419.452,46645,32983,79628
33,33,,406316.5,,False,False,,False,False,,False,False,,False,False,324.490,41277,25963,67240
34,34,,385892.0,,False,False,,False,False,,False,False,,False,False,460.034,60989,35788,96777
35,35,,365474.5,,False,False,,False,False,,False,False,,False,False,415.537,54109,32472,86581
36,36,,368586.0,,False,False,,False,False,,False,False,,False,False,446.801,37481,34811,72292
37,37,,384738.5,,False,False,,False,False,,False,False,,False,False,527.898,53743,41505,95248
38,38,,361787.5,,False,False,,False,False,,False,False,,False,False,358.838,39622,27714,67336
39,39,,362825.0,,False,False,,False,False,,False,False,,False,False,334.097,46599,25873,72472
40,40,,539902.33,,False,False,,False,False,,False,False,,False,False,496.783,52976,38102,91078
41,41,,522743.92,,False,False,,False,False,,False,False,,False,False,586.816,60090,44335,104425
42,42,,546708.5,,False,False,,False,False,,False,False,,False,False,430.793,42644,32538,75182
43,43,,542136.08,,False,False,,False,False,,False,False,,False,False,573.115,52552,43341,95893
44,44,,540282.08,,False,False,,False,False,,False,False,,False,False,374.262,46255,28347,74602
45,45,,454980.0,,False,False,232062.0,False,False,232062.0,False,False,232062.0,False,False,495.224,56542,37169,93711
46,46,,469130.5,,False,False,,False,False,,False,False,,False,False,530.210,54454,40076,94530
47,47,,443865.5,,False,False,,False,False,,False,False,,False,False,514.759,51098,38492,89590
48,48,,424617.5,,False,False,186279.0,False,False,186279.0,False,False,186279.0,False,False,443.236,75140,33020,108160
49,49,,472643.5,,False,False,,False,False,,False,False,,False,False,461.975,51248,35059,86307
50,50,,429782.4,,False,False,,False,False,,False,False,,False,False,533.199,47962,40480,88442
51,51,,428363.7,,False,False,,False,False,,False,False,,False,False,539.603,52832,41148,93980
52,52,,405046.03,,False,False,,False,False,,False,False,,False,False,454.201,48423,34691,83114
53,53,,428965.89,,False,False,,False,False,,False,False,,False,False,486.823,42038,37417,79455
54,54,,424383.49,,False,False,,False,False,,False,False,,False,False,460.223,48567,35334,83901
55,55,,1021145.0,,False,False,,False,False,,False,False,,False,False,519.485,52669,40085,92754
56,56,,1026458.0,,False,False,,False,False,,False,False,,False,False,503.970,42713,39021,81734
57,57,,1014502.0,,False,False,,False,False,,False,False,,False,False,340.400,46284,26595,72879
58,58,,1047182.0,,False,False,,False,False,,False,False,,False,False,388.600,37755,30935,68690
59,59,,1009032.0,,False,False,,False,False,,False,False,,False,False,500.723,46374,40128,86502
60,60,,735284.93,,False,False,,False,False,,False,False,,False,False,376.260,44786,30094,74880
61,61,,739353.78,,False,False,,False,False,,False,False,,False,False,463.964,41232,37044,78276
62,62,,771200.16,,False,False,,False,False,,False,False,,False,False,409.822,47882,32832,80714
63,63,,714169.2,,False,False,,False,False,,False,False,,False,False,370.154,39135,29808,68943
64,64,,693650.01,,False,False,,False,False,,False,False,,False,False,512.194,49022,40791,89813
65,65,,409419.62,,False,False,,False,False,,False,False,,False,False,485.774,47788,38797,86585
66,66,,414093.56,,False,False,,False,False,,False,False,,False,False,448.258,44982,35620,80602
67,67,,402309.0,,False,False,,False,False,,False,False,,False,False,438.509,48264,34628,82892
68,68,,399819.62,,False,False,,False,False,,False,False,,False,False,559.573,45947,43016,88963
69,69,,399408.82,,False,False,,False,False,,False,False,,False,False,503.127,52964,38828,91792
70,70,,562717.5,,False,False,,False,False,,False,False,,False,False,527.537,52534,40682,93216
71,71,,596190.0,,False,False,,False,False,,False,False,,False,False,320.267,41361,24989,66350
72,72,,555907.0,,False,False,,False,False,,False,False,,False,False,426.154,47664,32731,80395
73,73,,585562.5,,False,False,,False,False,,False,False,,False,False,466.668,47938,35559,83497
74,74,,575165.0,,False,False,,False,False,,False,False,,False,False,488.630,49714,36980,86694
75,75,,621810.5,,False,False,,False,False,,False,False,,False,False,543.794,43315,41285,84600
76,76,,596280.5,,False,False,,False,False,,False,False,,False,False,488.080,59810,37089,96899
77,77,,628599.5,,False,False,,False,False,,False,False,,False,False,429.374,53226,33017,86243
78,78,,621677.5,,False,False,,False,False,,False,False,,False,False,507.083,53852,39297,93149
79,79,,620242.5,,False,False,,False,False,,False,False,,False,False,449.545,49005,34527,83532
80,80,,595032.0,,False,False,,False,False,,False,False,,False,False,358.192,46309,27390,73699
81,81,,554930.0,,False,False,,False,False,,False,False,,False,False,617.553,48649,46807,95456
82,82,,596084.5,,False,False,,False,False,,False,False,,False,False,529.061,52608,40101,92709
83,83,,585244.5,,False,False,,False,False,,False,False,,False,False,559.630,53143,42553,95696
84,84,,621889.5,,False,False,,False,False,,False,False,,False,False,615.309,55765,46410,102175
85,85,,566687.5,,False,False,,False,False,,False,False,,False,False,465.221,42421,35130,77551
86,86,,546510.5,,False,False,,False,False,,False,False,,False,False,470.284,49461,35567,85028
87,87,,556194.0,,False,False,,False,False,,False,False,,False,False,468.820,49016,35373,84389
88,88,,565214.0,,False,False,,False,False,,False,False,,False,False,541.228,48598,41094,89692
89,89,,550111.0,,False,False,,False,False,,False,False,,False,False,501.097,51125,38734,89859
90,90,,586968.0,,False,False,,False,False,,False,False,,False,False,334.188,46235,25940,72175
91,91,,581911.0,,False,False,,False,False,,False,False,,False,False,500.634,48447,38279,86726
92,92,,653731.0,,False,False,,False,False,,False,False,,False,False,359.373,41116,27558,68674
93,93,,603673.5,,False,False,,False,False,,False,False,,False,False,498.140,52837,37822,90659
94,94,,613811.0,,False,False,,False,False,,False,False,,False,False,536.497,55400,40626,96026
