index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e4,cot_pass_1e2,l1_obj,l1_pass_1e4,l1_pass_1e2,l2_obj,l2_pass_1e4,l2_pass_1e2,final_obj,final_pass_1e4,final_pass_1e2,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,0,,1006432.0,,False,False,,False,False,,False,False,,False,False,196.227,13472,16384,29856
1,1,,1004271.5,,False,False,,False,False,,False,False,,False,False,170.519,14014,14158,28172
2,2,,1026462.5,,False,False,,False,False,,False,False,,False,False,170.489,14013,14150,28163
3,3,,1006574.5,,False,False,,False,False,,False,False,,False,False,187.861,14361,15597,29958
4,4,,1006442.5,,False,False,,False,False,,False,False,,False,False,176.612,14012,14631,28643
5,5,,378951.5,,False,False,,False,False,,False,False,,False,False,157.394,9163,13091,22254
6,6,,379803.0,,False,False,,False,False,,False,False,,False,False,141.102,9132,11739,20871
7,7,,391558.5,,False,False,,False,False,,False,False,,False,False,166.334,9230,13825,23055
8,8,,370433.5,,False,False,,False,False,,False,False,,False,False,130.732,9077,11513,20590
9,9,,371353.0,,False,False,,False,False,,False,False,,False,False,137.793,9079,12168,21247
10,10,,378951.5,,False,False,,False,False,,False,False,,False,False,126.263,8409,11238,19647
11,11,,367896.0,,False,False,,False,False,,False,False,,False,False,134.733,8778,11957,20735
12,12,,379063.0,,False,False,,False,False,,False,False,,False,False,125.644,8749,11149,19898
13,13,,377421.5,,False,False,,False,False,,False,False,,False,False,134.037,8732,11958,20690
14,14,,385802.5,,False,False,,False,False,,False,False,,False,False,128.016,8597,11406,20003
15,15,,502325.0,,False,False,,False,False,,False,False,,False,False,145.156,8423,13047,21470
16,16,,516420.0,,False,False,,False,False,,False,False,,False,False,131.802,8501,11845,20346
17,17,,512565.0,,False,False,,False,False,,False,False,,False,False,132.751,8660,11950,20610
18,18,,480555.0,,False,False,,False,False,,False,False,,False,False,138.623,8656,12496,21152
19,19,,539060.0,,False,False,,False,False,,False,False,,False,False,144.708,8571,13030,21601
20,20,,362918.5,,False,False,,False,False,,False,False,,False,False,157.968,7706,14343,22049
21,21,,367019.0,,False,False,,False,False,,False,False,,False,False,124.335,8688,11226,19914
22,22,,352674.0,,False,False,,False,False,,False,False,,False,False,131.112,8765,11889,20654
23,23,,355445.5,,False,False,,False,False,,False,False,,False,False,154.809,8042,13870,21912
24,24,,367405.0,,False,False,,False,False,,False,False,,False,False,169.670,8042,15262,23304
25,25,,347594.0,,False,False,,False,False,,False,False,,False,False,134.571,7794,12183,19977
26,26,,348252.0,,False,False,,False,False,,False,False,,False,False,128.460,8858,11618,20476
27,27,,342916.0,,False,False,,False,False,,False,False,,False,False,145.452,8817,13117,21934
28,28,,348595.0,,False,False,,False,False,,False,False,,False,False,135.806,7928,12295,20223
29,29,,346881.0,,False,False,,False,False,,False,False,,False,False,137.800,8715,12428,21143
30,30,,378951.5,,False,False,,False,False,,False,False,,False,False,137.532,8482,12389,20871
31,31,,399083.5,,False,False,,False,False,,False,False,,False,False,138.367,8320,12537,20857
32,32,,372422.0,,False,False,,False,False,,False,False,,False,False,145.138,8629,12805,21434
33,33,,406316.5,,False,False,,False,False,,False,False,,False,False,145.856,8458,12879,21337
34,34,,385892.0,,False,False,,False,False,,False,False,,False,False,127.812,8463,11329,19792
35,35,,365474.5,,False,False,,False,False,,False,False,,False,False,133.010,8517,11714,20231
36,36,,368586.0,,False,False,,False,False,,False,False,,False,False,162.143,7850,14470,22320
37,37,,384738.5,,False,False,,False,False,,False,False,,False,False,139.902,7842,12454,20296
38,38,,361787.5,,False,False,,False,False,,False,False,,False,False,150.353,7862,13201,21063
39,39,,362825.0,,False,False,,False,False,,False,False,,False,False,132.747,8573,11670,20243
40,40,,539902.33,,False,False,,False,False,,False,False,,False,False,128.868,8590,11638,20228
41,41,,522743.92,,False,False,,False,False,,False,False,,False,False,133.290,8579,12022,20601
42,42,,546708.5,,False,False,,False,False,,False,False,,False,False,133.984,7844,12084,19928
43,43,,542136.08,,False,False,,False,False,,False,False,,False,False,124.556,8583,11328,19911
44,44,,540282.08,,False,False,,False,False,,False,False,,False,False,130.527,8696,11794,20490
45,45,,454980.0,,False,False,,False,False,,False,False,,False,False,138.935,7739,12523,20262
46,46,,469130.5,,False,False,,False,False,,False,False,,False,False,126.139,7938,11513,19451
47,47,,443865.5,,False,False,,False,False,,False,False,,False,False,132.308,7996,11976,19972
48,48,,424617.5,,False,False,,False,False,,False,False,,False,False,124.238,7865,11094,18959
49,49,,472643.5,,False,False,,False,False,,False,False,,False,False,131.167,7825,11719,19544
50,50,,429782.4,,False,False,,False,False,,False,False,,False,False,141.579,8381,12686,21067
51,51,,428363.7,,False,False,,False,False,,False,False,,False,False,140.273,8589,12567,21156
52,52,,405046.03,,False,False,,False,False,,False,False,,False,False,135.094,8448,12022,20470
53,53,,428965.89,,False,False,,False,False,,False,False,,False,False,131.993,8501,11766,20267
54,54,,424383.49,,False,False,,False,False,,False,False,,False,False,147.625,8449,13161,21610
55,55,,1021145.0,,False,False,,False,False,,False,False,,False,False,132.518,8690,11857,20547
56,56,,1026458.0,,False,False,,False,False,,False,False,,False,False,133.544,8810,12011,20821
57,57,,1014502.0,,False,False,,False,False,,False,False,,False,False,147.252,8669,13272,21941
58,58,,1047182.0,,False,False,,False,False,,False,False,,False,False,154.081,8608,13853,22461
59,59,,1009032.0,,False,False,,False,False,,False,False,,False,False,125.536,8623,11379,20002
60,60,,735284.93,,False,False,,False,False,,False,False,,False,False,145.232,7798,13072,20870
61,61,,739353.78,,False,False,,False,False,,False,False,,False,False,135.441,8538,12142,20680
62,62,,771200.16,,False,False,,False,False,,False,False,,False,False,134.706,8498,12085,20583
63,63,,714169.2,,False,False,,False,False,,False,False,,False,False,124.693,8414,11247,19661
64,64,,693650.01,,False,False,,False,False,,False,False,,False,False,130.347,8498,11657,20155
65,65,,409419.62,,False,False,,False,False,,False,False,,False,False,147.489,7559,13286,20845
66,66,,414093.56,,False,False,,False,False,,False,False,,False,False,137.162,8530,12413,20943
67,67,,402309.0,,False,False,,False,False,,False,False,,False,False,138.528,7633,12521,20154
68,68,,399819.62,,False,False,,False,False,,False,False,,False,False,151.562,8439,13672,22111
69,69,,399408.82,,False,False,,False,False,,False,False,,False,False,141.163,8440,12792,21232
70,70,,562717.5,,False,False,,False,False,,False,False,,False,False,148.366,8054,13302,21356
71,71,,596190.0,,False,False,,False,False,,False,False,,False,False,135.186,8491,12217,20708
72,72,,555907.0,,False,False,,False,False,,False,False,,False,False,132.916,8368,12044,20412
73,73,,585562.5,,False,False,,False,False,,False,False,,False,False,141.495,8515,12644,21159
74,74,,575165.0,,False,False,,False,False,,False,False,,False,False,127.343,8473,11463,19936
75,75,,621810.5,,False,False,,False,False,,False,False,,False,False,132.080,8273,11827,20100
76,76,,596280.5,,False,False,,False,False,,False,False,,False,False,122.856,8453,10993,19446
77,77,,628599.5,,False,False,,False,False,,False,False,,False,False,131.122,8391,11788,20179
78,78,,621677.5,,False,False,,False,False,,False,False,,False,False,125.233,8451,11281,19732
79,79,,620242.5,,False,False,,False,False,,False,False,,False,False,144.032,8407,13071,21478
80,80,,595032.0,,False,False,,False,False,,False,False,,False,False,128.935,8279,11522,19801
81,81,,554930.0,,False,False,,False,False,,False,False,,False,False,137.257,8371,12344,20715
82,82,,596084.5,,False,False,,False,False,,False,False,,False,False,138.433,8361,12448,20809
83,83,,585244.5,,False,False,,False,False,,False,False,,False,False,150.643,8474,13518,21992
84,84,,621889.5,,False,False,,False,False,,False,False,,False,False,160.041,7943,14447,22390
85,85,,566687.5,,False,False,,False,False,,False,False,,False,False,127.627,8510,11513,20023
86,86,,546510.5,,False,False,,False,False,,False,False,,False,False,127.904,8558,11508,20066
87,87,,556194.0,,False,False,,False,False,,False,False,,False,False,133.787,8483,11967,20450
88,88,,565214.0,,False,False,,False,False,,False,False,,False,False,134.240,8634,12058,20692
89,89,,550111.0,,False,False,,False,False,,False,False,,False,False,147.351,8595,13175,21770
90,90,,586968.0,,False,False,,False,False,,False,False,,False,False,130.645,8512,11757,20269
91,91,,581911.0,,False,False,,False,False,,False,False,,False,False,141.396,8599,12638,21237
92,92,,653731.0,,False,False,,False,False,,False,False,,False,False,138.787,8640,12360,21000
93,93,,603673.5,,False,False,,False,False,,False,False,,False,False,133.728,8630,11972,20602
94,94,,613811.0,,False,False,,False,False,,False,False,,False,False,73.729,8457,6651,15108
95,95,,484996.5,,False,False,,False,False,,False,False,,False,False,146.777,8385,13143,21528
96,96,,496085.0,,False,False,,False,False,,False,False,,False,False,133.654,8551,11955,20506
97,97,,516706.5,,False,False,,False,False,,False,False,,False,False,146.905,8593,13110,21703
98,98,,476425.5,,False,False,,False,False,,False,False,,False,False,145.032,8588,12994,21582
99,99,,498825.0,,False,False,,False,False,,False,False,,False,False,143.106,8577,12761,21338
100,100,,5783150.0,,False,False,,False,False,,False,False,,False,False,130.083,8598,11638,20236
101,101,,5715150.0,,False,False,,False,False,,False,False,,False,False,148.728,8523,13344,21867
102,102,,5800830.0,,False,False,,False,False,,False,False,,False,False,139.581,8519,12542,21061
103,103,,5759780.0,,False,False,,False,False,,False,False,,False,False,133.221,8706,11943,20649
104,104,,5721560.0,,False,False,,False,False,,False,False,,False,False,132.008,8676,11815,20491
105,105,,1428630.0,,False,False,,False,False,,False,False,,False,False,126.721,8275,11346,19621
106,106,,1429573.41,,False,False,,False,False,,False,False,,False,False,133.715,8421,11892,20313
107,107,,1410267.58,,False,False,,False,False,,False,False,,False,False,152.654,8379,13652,22031
108,108,,1436742.02,,False,False,,False,False,,False,False,,False,False,135.908,8595,12178,20773
109,109,,1464342.93,,False,False,,False,False,,False,False,,False,False,128.753,8371,11539,19910
110,110,,659015.8,,False,False,,False,False,,False,False,,False,False,136.724,8410,12231,20641
111,111,,667215.07,,False,False,,False,False,,False,False,,False,False,158.537,7672,14363,22035
112,112,,671493.21,,False,False,,False,False,,False,False,,False,False,144.374,8396,13102,21498
113,113,,661575.96,,False,False,,False,False,,False,False,,False,False,140.654,8409,12642,21051
114,114,,670873.86,,False,False,,False,False,,False,False,,False,False,180.707,7646,16384,24030
115,115,,694823.0,,False,False,,False,False,,False,False,,False,False,154.788,8404,14080,22484
116,116,,686020.85,,False,False,,False,False,,False,False,,False,False,180.461,7766,16384,24150
117,117,,709631.25,,False,False,,False,False,,False,False,,False,False,155.224,8756,14141,22897
118,118,,664512.16,,False,False,,False,False,,False,False,,False,False,169.798,8173,15422,23595
119,119,,736925.88,,False,False,,False,False,,False,False,,False,False,157.937,8185,14253,22438
120,120,,755550.05,,False,False,,False,False,,False,False,,False,False,128.744,8445,11554,19999
121,121,,768101.67,,False,False,,False,False,,False,False,,False,False,137.218,8704,12356,21060
122,122,,766436.12,,False,False,,False,False,,False,False,,False,False,134.919,8692,12087,20779
123,123,,764703.38,,False,False,,False,False,,False,False,,False,False,157.748,8566,14128,22694
124,124,,759745.35,,False,False,,False,False,,False,False,,False,False,131.617,8587,11812,20399
125,125,,528518.0,,False,False,,False,False,,False,False,,False,False,140.418,8635,12499,21134
126,126,,486598.0,,False,False,,False,False,,False,False,,False,False,130.868,8754,11782,20536
127,127,,514981.0,,False,False,,False,False,,False,False,,False,False,151.699,8557,13640,22197
128,128,,510229.0,,False,False,,False,False,,False,False,,False,False,130.414,8767,11621,20388
129,129,,502283.0,,False,False,,False,False,,False,False,,False,False,135.153,8772,12157,20929
130,130,,506120.72,,False,False,,False,False,,False,False,,False,False,125.488,8543,11302,19845
131,131,,511116.43,,False,False,,False,False,,False,False,,False,False,137.948,8533,12445,20978
132,132,,486970.87,,False,False,,False,False,,False,False,,False,False,140.684,8531,12519,21050
133,133,,514497.87,,False,False,,False,False,,False,False,,False,False,148.548,8536,13254,21790
134,134,,510333.63,,False,False,,False,False,,False,False,,False,False,131.251,8616,11813,20429
135,135,,399680.25,,False,False,,False,False,,False,False,,False,False,138.436,8320,12350,20670
136,136,,399656.42,,False,False,,False,False,,False,False,,False,False,127.048,8511,11311,19822
137,137,,407555.67,,False,False,,False,False,,False,False,,False,False,168.857,8107,15178,23285
138,138,,403105.47,,False,False,,False,False,,False,False,,False,False,132.840,8679,11853,20532
139,139,,401053.48,,False,False,,False,False,,False,False,,False,False,133.641,8625,11986,20611
140,140,,733496.92,,False,False,,False,False,,False,False,,False,False,162.636,8343,14627,22970
141,141,,718711.42,,False,False,,False,False,,False,False,,False,False,149.784,8137,13531,21668
142,142,,715371.42,,False,False,,False,False,,False,False,,False,False,130.857,8481,11858,20339
143,143,,714690.83,,False,False,,False,False,,False,False,,False,False,156.086,8189,14148,22337
144,144,,719933.0,,False,False,,False,False,,False,False,,False,False,129.679,8474,11736,20210
145,145,,444921.89,,False,False,,False,False,,False,False,,False,False,149.558,8612,13360,21972
146,146,,448347.29,,False,False,,False,False,,False,False,,False,False,138.721,8663,12480,21143
147,147,,430416.21,,False,False,,False,False,,False,False,,False,False,145.626,8715,13058,21773
148,148,,441399.64,,False,False,,False,False,,False,False,,False,False,142.696,8719,12686,21405
149,149,,462895.92,,False,False,,False,False,,False,False,,False,False,146.029,8721,12873,21594
150,150,,524480.5,,False,False,,False,False,,False,False,,False,False,135.106,8616,11922,20538
151,151,,522186.0,,False,False,,False,False,,False,False,,False,False,137.630,8532,12159,20691
152,152,,508672.0,,False,False,,False,False,,False,False,,False,False,140.176,8595,12375,20970
153,153,,507135.5,,False,False,,False,False,,False,False,,False,False,134.758,8683,11889,20572
154,154,,529493.0,,False,False,,False,False,,False,False,,False,False,130.646,8677,11556,20233
155,155,,622677.8,,False,False,,False,False,,False,False,,False,False,129.618,9004,11363,20367
