index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e4,cot_pass_1e2,l1_obj,l1_pass_1e4,l1_pass_1e2,l2_obj,l2_pass_1e4,l2_pass_1e2,final_obj,final_pass_1e4,final_pass_1e2,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,0,,1006432.0,,False,False,,False,False,,False,False,,False,False,255.938,50285,20079,70364
1,1,,1004271.5,,False,False,,False,False,,False,False,,False,False,262.421,51109,20595,71704
2,2,,1026462.5,,False,False,,False,False,,False,False,,False,False,259.278,50875,20287,71162
3,3,,1006574.5,,False,False,,False,False,,False,False,,False,False,264.567,51081,20701,71782
4,4,,1006442.5,,False,False,,False,False,,False,False,,False,False,257.338,50798,20205,71003
5,5,,378951.5,,False,False,,False,False,,False,False,,False,False,148.256,34341,12152,46493
6,6,,379803.0,,False,False,,False,False,,False,False,,False,False,150.519,34726,12328,47054
7,7,,391558.5,,False,False,,False,False,,False,False,,False,False,145.537,34435,11968,46403
8,8,,370433.5,,False,False,,False,False,,False,False,,False,False,159.370,34726,12328,47054
9,9,,371353.0,,False,False,,False,False,,False,False,,False,False,158.440,34685,12279,46964
10,10,,378951.5,,False,False,,False,False,,False,False,,False,False,145.162,32094,11056,43150
11,11,,367896.0,,False,False,,False,False,,False,False,,False,False,128.501,32239,10955,43194
12,12,,379063.0,,False,False,,False,False,,False,False,,False,False,130.885,32461,11078,43539
13,13,,377421.5,,False,False,,False,False,,False,False,,False,False,128.855,32305,10927,43232
14,14,,385802.5,,False,False,,False,False,,False,False,,False,False,132.130,32478,11110,43588
15,15,,502325.0,,False,False,,False,False,,False,False,,False,False,127.027,31701,10683,42384
16,16,,516420.0,,False,False,,False,False,,False,False,,False,False,126.665,31999,10743,42742
17,17,,512565.0,,False,False,,False,False,,False,False,,False,False,128.798,32094,10835,42929
18,18,,480555.0,,False,False,,False,False,,False,False,,False,False,131.864,32318,11160,43478
19,19,,539060.0,,False,False,,False,False,,False,False,,False,False,126.804,31991,10735,42726
20,20,,362918.5,,False,False,,False,False,,False,False,,False,False,129.913,31961,11012,42973
21,21,,367019.0,,False,False,,False,False,,False,False,,False,False,128.013,32234,10870,43104
22,22,,352674.0,,False,False,,False,False,,False,False,,False,False,129.398,32401,11037,43438
23,23,,355445.5,,False,False,,False,False,,False,False,,False,False,138.876,33041,11890,44931
24,24,,367405.0,,False,False,,False,False,,False,False,,False,False,130.980,32377,11069,43446
25,25,,347594.0,,False,False,,False,False,,False,False,,False,False,129.183,32231,10898,43129
26,26,,348252.0,,False,False,,False,False,,False,False,,False,False,133.323,32929,11324,44253
27,27,,342916.0,,False,False,,False,False,,False,False,,False,False,157.879,32632,13279,45911
28,28,,348595.0,,False,False,,False,False,,False,False,,False,False,130.554,32863,11128,43991
29,29,,346881.0,,False,False,,False,False,,False,False,,False,False,133.171,32914,11330,44244
30,30,,378951.5,,False,False,,False,False,,False,False,,False,False,119.874,31190,10359,41549
31,31,,399083.5,,False,False,,False,False,,False,False,,False,False,130.536,32224,11092,43316
32,32,,372422.0,,False,False,,False,False,,False,False,,False,False,124.253,31706,10541,42247
33,33,,406316.5,,False,False,,False,False,,False,False,,False,False,126.944,31963,10771,42734
34,34,,385892.0,,False,False,,False,False,,False,False,,False,False,125.336,31728,10548,42276
35,35,,365474.5,,False,False,,False,False,,False,False,,False,False,136.937,32236,11556,43792
36,36,,368586.0,,False,False,,False,False,,False,False,,False,False,151.299,33737,12699,46436
37,37,,384738.5,,False,False,,False,False,,False,False,,False,False,135.440,32699,11440,44139
38,38,,361787.5,,False,False,,False,False,,False,False,,False,False,141.791,33048,11974,45022
39,39,,362825.0,,False,False,,False,False,,False,False,,False,False,131.429,32556,11138,43694
40,40,,539902.33,,False,False,,False,False,,False,False,,False,False,149.609,33416,12734,46150
41,41,,522743.92,,False,False,,False,False,,False,False,,False,False,139.478,32961,11830,44791
42,42,,546708.5,,False,False,,False,False,,False,False,,False,False,140.239,33029,11912,44941
43,43,,542136.08,,False,False,,False,False,,False,False,,False,False,142.582,32961,11830,44791
44,44,,540282.08,,False,False,,False,False,,False,False,,False,False,141.262,32952,11770,44722
45,45,,454980.0,782624.0,False,False,782624.0,False,False,782624.0,False,False,782624.0,False,False,158.459,31079,12516,43595
46,46,,469130.5,,False,False,,False,False,,False,False,,False,False,123.281,29673,10308,39981
47,47,,443865.5,204971.49999999974,False,False,204971.49999999974,False,False,204971.49999999974,False,False,204971.49999999974,False,False,162.571,31789,12697,44486
48,48,,424617.5,195598.49999999927,False,False,195598.49999999927,False,False,195598.49999999927,False,False,195598.49999999927,False,False,160.390,31823,12806,44629
49,49,,472643.5,,False,False,,False,False,,False,False,,False,False,124.458,29671,10226,39897
50,50,,429782.4,,False,False,,False,False,,False,False,,False,False,126.243,31149,10191,41340
51,51,,428363.7,,False,False,,False,False,,False,False,,False,False,131.659,31961,10868,42829
52,52,,405046.03,,False,False,,False,False,,False,False,,False,False,131.052,31922,10829,42751
53,53,,428965.89,,False,False,,False,False,,False,False,,False,False,129.888,31902,10748,42650
54,54,,424383.49,,False,False,,False,False,,False,False,,False,False,124.539,31670,10448,42118
55,55,,1021145.0,,False,False,,False,False,,False,False,,False,False,131.485,32179,10936,43115
56,56,,1026458.0,,False,False,,False,False,,False,False,,False,False,133.762,32583,11260,43843
57,57,,1014502.0,,False,False,,False,False,,False,False,,False,False,128.137,32268,10786,43054
58,58,,1047182.0,,False,False,,False,False,,False,False,,False,False,130.500,32517,11066,43583
59,59,,1009032.0,,False,False,,False,False,,False,False,,False,False,133.095,32738,11287,44025
60,60,,735284.93,,False,False,,False,False,,False,False,,False,False,123.434,31066,10433,41499
61,61,,739353.78,,False,False,,False,False,,False,False,,False,False,124.466,31416,10536,41952
62,62,,771200.16,,False,False,,False,False,,False,False,,False,False,123.939,31457,10478,41935
