index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e4,cot_pass_1e2,l1_obj,l1_pass_1e4,l1_pass_1e2,l2_obj,l2_pass_1e4,l2_pass_1e2,final_obj,final_pass_1e4,final_pass_1e2,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,0,,1006432.0,,False,False,,False,False,,False,False,,False,False,184.840,13493,15805,29298
1,1,,1004271.5,,False,False,,False,False,,False,False,,False,False,185.343,13629,15857,29486
2,2,,1026462.5,,False,False,,False,False,,False,False,,False,False,187.647,13629,15968,29597
3,3,,1006574.5,,False,False,,False,False,,False,False,,False,False,185.728,13629,15872,29501
4,4,,1006442.5,,False,False,,False,False,,False,False,,False,False,190.773,13623,16197,29820
5,5,,378951.5,,False,False,,False,False,,False,False,,False,False,82.495,8610,7104,15714
6,6,,379803.0,,False,False,,False,False,,False,False,,False,False,84.997,8727,7267,15994
7,7,,391558.5,,False,False,,False,False,,False,False,,False,False,85.064,8725,7273,15998
8,8,,370433.5,,False,False,,False,False,,False,False,,False,False,85.848,8727,7267,15994
9,9,,371353.0,,False,False,,False,False,,False,False,,False,False,84.923,8721,7213,15934
10,10,,378951.5,,False,False,,False,False,,False,False,,False,False,77.646,8058,6694,14752
11,11,,367896.0,,False,False,,False,False,,False,False,,False,False,75.633,8203,6802,15005
12,12,,379063.0,,False,False,,False,False,,False,False,,False,False,74.819,8205,6804,15009
13,13,,377421.5,,False,False,,False,False,,False,False,,False,False,74.171,8201,6750,14951
14,14,,385802.5,,False,False,,False,False,,False,False,,False,False,74.288,8203,6784,14987
15,15,,502325.0,,False,False,,False,False,,False,False,,False,False,70.874,8039,6577,14616
16,16,,516420.0,,False,False,,False,False,,False,False,,False,False,72.513,8155,6737,14892
17,17,,512565.0,,False,False,,False,False,,False,False,,False,False,73.009,8161,6755,14916
18,18,,480555.0,,False,False,,False,False,,False,False,,False,False,71.933,8155,6703,14858
19,19,,539060.0,,False,False,,False,False,,False,False,,False,False,74.396,8163,6867,15030
20,20,,362918.5,,False,False,,False,False,,False,False,,False,False,71.525,8097,6604,14701
21,21,,367019.0,,False,False,,False,False,,False,False,,False,False,73.183,8213,6774,14987
22,22,,352674.0,,False,False,,False,False,,False,False,,False,False,76.289,8215,7046,15261
23,23,,355445.5,,False,False,,False,False,,False,False,,False,False,76.557,8215,7032,15247
24,24,,367405.0,,False,False,,False,False,,False,False,,False,False,72.663,8215,6818,15033
25,25,,347594.0,,False,False,,False,False,,False,False,,False,False,72.474,8192,6754,14946
26,26,,348252.0,,False,False,,False,False,,False,False,,False,False,75.579,8332,6970,15302
27,27,,342916.0,,False,False,,False,False,,False,False,,False,False,74.069,8312,6885,15197
28,28,,348595.0,,False,False,,False,False,,False,False,,False,False,74.676,8332,6944,15276
29,29,,346881.0,,False,False,,False,False,,False,False,,False,False,74.539,8312,6931,15243
30,30,,378951.5,,False,False,,False,False,,False,False,,False,False,71.606,7981,6639,14620
31,31,,399083.5,,False,False,,False,False,,False,False,,False,False,74.010,8132,6841,14973
32,32,,372422.0,,False,False,,False,False,,False,False,,False,False,70.960,8116,6615,14731
33,33,,406316.5,,False,False,,False,False,,False,False,,False,False,72.771,8130,6757,14887
