index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e4,cot_pass_1e2,l1_obj,l1_pass_1e4,l1_pass_1e2,l2_obj,l2_pass_1e4,l2_pass_1e2,final_obj,final_pass_1e4,final_pass_1e2,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,0,,1006432.0,,False,False,,False,False,,False,False,,False,False,60.457,15786,5998,21784
1,1,,1004271.5,,False,False,,False,False,,False,False,,False,False,80.378,16356,7932,24288
2,2,,1026462.5,,False,False,,False,False,,False,False,,False,False,76.645,15743,7182,22925
3,3,,1006574.5,,False,False,,False,False,,False,False,,False,False,80.299,16364,8146,24510
4,4,,1006442.5,,False,False,,False,False,,False,False,,False,False,78.361,16034,8047,24081
5,5,,378951.5,,False,False,,False,False,,False,False,,False,False,66.942,12410,6868,19278
6,6,,379803.0,,False,False,,False,False,,False,False,,False,False,68.225,12512,6901,19413
7,7,,391558.5,,False,False,,False,False,,False,False,,False,False,66.765,12412,7017,19429
8,8,,370433.5,,False,False,,False,False,,False,False,,False,False,65.166,12531,6285,18816
9,9,,371353.0,,False,False,,False,False,,False,False,,False,False,67.199,12524,6922,19446
10,10,,378951.5,241876.9999999998,False,False,241876.9999999998,False,False,241876.9999999998,False,False,241876.9999999998,False,False,56.507,10998,6470,17468
11,11,,367896.0,,False,False,,False,False,,False,False,,False,False,63.815,11722,6758,18480
12,12,,379063.0,,False,False,,False,False,,False,False,,False,False,62.645,11662,6741,18403
13,13,,377421.5,,False,False,,False,False,,False,False,,False,False,63.519,11673,6679,18352
14,14,,385802.5,,False,False,,False,False,,False,False,,False,False,61.821,11667,6268,17935
15,15,,502325.0,502325.0,True,True,502325.0,True,True,502325.0,True,True,502325.0,True,True,57.732,11543,5966,17509
16,16,,516420.0,,False,False,,False,False,,False,False,,False,False,66.107,11671,6747,18418
17,17,,512565.0,459015.0,False,False,459015.0,False,False,459015.0,False,False,459015.0,False,False,52.344,10921,6193,17114
18,18,,480555.0,,False,False,,False,False,,False,False,,False,False,65.233,11657,6686,18343
19,19,,539060.0,152040.0,False,False,152040.0,False,False,152040.0,False,False,152040.0,False,False,58.420,11564,6033,17597
20,20,,362918.5,,False,False,,False,False,,False,False,,False,False,60.256,11799,6597,18396
21,21,,367019.0,385114.5,False,False,385114.5,False,False,385114.5,False,False,385114.5,False,False,49.560,11436,5458,16894
22,22,,352674.0,364209.00000000023,False,False,364209.00000000023,False,False,364209.00000000023,False,False,364209.00000000023,False,False,49.872,11335,5495,16830
23,23,,355445.5,366380.49999999977,False,False,366380.49999999977,False,False,366380.49999999977,False,False,366380.49999999977,False,False,48.548,10900,5728,16628
24,24,,367405.0,,False,False,,False,False,,False,False,,False,False,57.836,11493,6294,17787
25,25,,347594.0,361973.0000000006,False,False,361973.0000000006,False,False,361973.0000000006,False,False,361973.0000000006,False,False,54.159,11666,5959,17625
26,26,,348252.0,,False,False,,False,False,,False,False,,False,False,64.583,11858,6716,18574
27,27,,342916.0,,False,False,,False,False,,False,False,,False,False,60.192,11546,6579,18125
28,28,,348595.0,,False,False,,False,False,,False,False,,False,False,61.118,11552,6642,18194
29,29,,346881.0,,False,False,,False,False,,False,False,,False,False,60.581,11603,6469,18072
30,30,,378951.5,378951.4999999997,True,True,378951.4999999997,True,True,378951.4999999997,True,True,378951.4999999997,True,True,46.767,11529,5377,16906
31,31,,399083.5,,False,False,,False,False,,False,False,,False,False,48.466,11345,5471,16816
32,32,,372422.0,,False,False,,False,False,,False,False,,False,False,50.544,11448,5714,17162
33,33,,406316.5,,False,False,,False,False,,False,False,,False,False,55.061,11351,6121,17472
34,34,,385892.0,,False,False,,False,False,,False,False,,False,False,58.945,11644,6532,18176
35,35,,365474.5,,False,False,,False,False,,False,False,,False,False,56.909,11541,6360,17901
36,36,,368586.0,,False,False,,False,False,,False,False,,False,False,52.739,11565,5827,17392
37,37,,384738.5,,False,False,,False,False,,False,False,,False,False,57.886,11511,6149,17660
38,38,,361787.5,,False,False,,False,False,,False,False,,False,False,56.426,11446,6073,17519
39,39,,362825.0,165405.99999999988,False,False,165405.99999999988,False,False,165405.99999999988,False,False,165405.99999999988,False,False,49.017,10901,5952,16853
40,40,,539902.33,265964.33333333355,False,False,265964.33333333355,False,False,265964.33333333355,False,False,265964.33333333355,False,False,65.254,11886,7444,19330
41,41,,522743.92,516361.91666666674,False,False,516361.91666666674,False,False,516361.91666666674,False,False,516361.91666666674,False,False,55.418,10953,6529,17482
42,42,,546708.5,,False,False,,False,False,,False,False,,False,False,58.004,11506,6358,17864
43,43,,542136.08,496211.58333333407,False,False,496211.58333333407,False,False,496211.58333333407,False,False,496211.58333333407,False,False,50.813,10948,6080,17028
44,44,,540282.08,,False,False,,False,False,,False,False,,False,False,59.080,11484,6638,18122
45,45,,454980.0,412240.00000000023,False,False,412240.00000000023,False,False,412240.00000000023,False,False,412240.00000000023,False,False,52.826,9773,6385,16158
46,46,,469130.5,417933.0000000002,False,False,417933.0000000002,False,False,417933.0000000002,False,False,417933.0000000002,False,False,48.930,9720,5907,15627
47,47,,443865.5,402858.9999999999,False,False,402858.9999999999,False,False,402858.9999999999,False,False,402858.9999999999,False,False,49.535,9638,5890,15528
48,48,,424617.5,381516.9999999998,False,False,381516.9999999998,False,False,381516.9999999998,False,False,381516.9999999998,False,False,51.039,9582,6195,15777
49,49,,472643.5,424693.99999999977,False,False,424693.99999999977,False,False,424693.99999999977,False,False,424693.99999999977,False,False,54.089,9800,6558,16358
50,50,,429782.4,434252.7600000004,False,False,434252.7600000004,False,False,434252.7600000004,False,False,434252.7600000004,False,False,51.801,10726,6273,16999
51,51,,428363.7,,False,False,,False,False,,False,False,,False,False,61.223,11505,6938,18443
52,52,,405046.03,,False,False,,False,False,,False,False,,False,False,56.540,11225,6445,17670
53,53,,428965.89,,False,False,,False,False,,False,False,,False,False,59.208,11489,6633,18122
54,54,,424383.49,,False,False,,False,False,,False,False,,False,False,55.560,11570,6162,17732
55,55,,1021145.0,907599.9999999999,False,False,907599.9999999999,False,False,907599.9999999999,False,False,907599.9999999999,False,False,51.701,11112,6315,17427
56,56,,1026458.0,,False,False,,False,False,,False,False,,False,False,53.594,11475,6215,17690
57,57,,1014502.0,,False,False,,False,False,,False,False,,False,False,62.502,11693,7116,18809
58,58,,1047182.0,912421.9999999998,False,False,912421.9999999998,False,False,912421.9999999998,False,False,912421.9999999998,False,False,66.811,11741,7620,19361
59,59,,1009032.0,,False,False,,False,False,,False,False,,False,False,66.097,11445,7253,18698
60,60,,735284.93,677503.3333333336,False,False,677503.3333333336,False,False,677503.3333333336,False,False,677503.3333333336,False,False,52.813,11092,5872,16964
61,61,,739353.78,,False,False,,False,False,,False,False,,False,False,60.560,11377,6720,18097
62,62,,771200.16,,False,False,,False,False,,False,False,,False,False,57.867,11426,6546,17972
63,63,,714169.2,,False,False,,False,False,,False,False,,False,False,60.721,11497,6618,18115
64,64,,693650.01,,False,False,,False,False,,False,False,,False,False,61.849,11449,6917,18366
65,65,,409419.62,,False,False,,False,False,,False,False,,False,False,60.111,11314,7146,18460
66,66,,414093.56,,False,False,,False,False,,False,False,,False,False,56.816,11598,6472,18070
67,67,,402309.0,393499.8559758141,False,False,393499.8559758141,False,False,393499.8559758141,False,False,393499.8559758141,False,False,47.132,10748,5852,16600
