index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e4,cot_pass_1e2,cot_pass_5pct,cot_gap,l1_obj,l1_pass_1e4,l1_pass_1e2,l1_pass_5pct,l1_gap,l2_obj,l2_pass_1e4,l2_pass_1e2,l2_pass_5pct,l2_gap,final_obj,final_pass_1e4,final_pass_1e2,final_pass_5pct,final_gap,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,0,,1006432.0,940961.9999999993,False,False,False,0.06505158818479609,940961.9999999993,False,False,False,0.06505158818479609,940961.9999999993,False,False,False,0.06505158818479609,940961.9999999993,False,False,False,0.06505158818479609,872.000,10587,12358,22945
1,1,,1004271.5,938302.9999999999,False,False,False,0.06568791407502864,938302.9999999999,False,False,False,0.06568791407502864,938302.9999999999,False,False,False,0.06568791407502864,938302.9999999999,False,False,False,0.06568791407502864,361.631,10610,12230,22840
2,2,,1026462.5,1064213.0000000007,False,False,True,0.036777281196342486,1064213.0000000007,False,False,True,0.036777281196342486,1064213.0000000007,False,False,True,0.036777281196342486,1064213.0000000007,False,False,True,0.036777281196342486,368.443,10702,12763,23465
3,3,,1006574.5,1047072.4999999987,False,False,True,0.040233484953174074,1047072.4999999987,False,False,True,0.040233484953174074,1047072.4999999987,False,False,True,0.040233484953174074,1047072.4999999987,False,False,True,0.040233484953174074,397.920,9737,15416,25153
4,4,,1006442.5,1033285.9999999993,False,False,True,0.02667166778032456,1033285.9999999993,False,False,True,0.02667166778032456,1033285.9999999993,False,False,True,0.02667166778032456,1033285.9999999993,False,False,True,0.02667166778032456,373.606,10702,13416,24118
5,5,,378951.5,391266.9999999999,False,False,True,0.032498881783024694,391266.9999999999,False,False,True,0.032498881783024694,391266.9999999999,False,False,True,0.032498881783024694,391266.9999999999,False,False,True,0.032498881783024694,316.192,7810,6747,14557
6,6,,379803.0,313908.0000000001,False,False,False,0.17349783966951257,313908.0000000001,False,False,False,0.17349783966951257,313908.0000000001,False,False,False,0.17349783966951257,313908.0000000001,False,False,False,0.17349783966951257,306.255,7875,10231,18106
7,7,,391558.5,342472.00000000006,False,False,False,0.12536185525279095,342472.00000000006,False,False,False,0.12536185525279095,342472.00000000006,False,False,False,0.12536185525279095,342472.00000000006,False,False,False,0.12536185525279095,290.431,7864,9248,17112
8,8,,370433.5,307953.0000000001,False,False,False,0.1686686004370552,307953.0000000001,False,False,False,0.1686686004370552,307953.0000000001,False,False,False,0.1686686004370552,307953.0000000001,False,False,False,0.1686686004370552,303.580,7892,10029,17921
9,9,,371353.0,396141.0,False,False,False,0.06675050423720827,396141.0,False,False,False,0.06675050423720827,396141.0,False,False,False,0.06675050423720827,396141.0,False,False,False,0.06675050423720827,291.451,7854,9954,17808
10,10,,378951.5,160715.55426025426,False,False,False,0.5758941335230122,160715.55426025426,False,False,False,0.5758941335230122,160715.55426025426,False,False,False,0.5758941335230122,160715.55426025426,False,False,False,0.5758941335230122,201.870,7286,9639,16925
11,11,,367896.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,344.606,7323,22364,29687
12,12,,379063.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,255.982,7266,15158,22424
13,13,,377421.5,252555.4999999997,False,False,False,0.3308396580480982,252555.4999999997,False,False,False,0.3308396580480982,252555.4999999997,False,False,False,0.3308396580480982,252555.4999999997,False,False,False,0.3308396580480982,304.285,7340,19189,26529
14,14,,385802.5,303876.0,False,False,False,0.2123534710117223,303876.0,False,False,False,0.2123534710117223,303876.0,False,False,False,0.2123534710117223,303876.0,False,False,False,0.2123534710117223,386.090,7319,24440,31759
15,15,,502325.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,865.414,7240,11893,19133
16,16,,516420.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,289.358,7207,18415,25622
17,17,,512565.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,284.026,7297,18115,25412
18,18,,480555.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,392.190,7207,24708,31915
19,19,,539060.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,270.006,7290,17227,24517
20,20,,362918.5,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,297.207,7299,17545,24844
21,21,,367019.0,232092.0,False,False,False,0.3676294687740962,232092.0,False,False,False,0.3676294687740962,232092.0,False,False,False,0.3676294687740962,232092.0,False,False,False,0.3676294687740962,203.039,7336,9637,16973
22,22,,352674.0,293750.0,False,False,False,0.1670778112364393,293750.0,False,False,False,0.1670778112364393,293750.0,False,False,False,0.1670778112364393,293750.0,False,False,False,0.1670778112364393,173.765,7272,6291,13563
23,23,,355445.5,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,303.158,7341,18504,25845
24,24,,367405.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,181.924,7422,6520,13942
25,25,,347594.0,,False,False,False,,,False,False,False,,,False,False,False,,,False,False,False,,252.838,7388,8639,16027
26,26,,348252.0,172957.99999999994,False,False,False,0.5033538931578284,172957.99999999994,False,False,False,0.5033538931578284,172957.99999999994,False,False,False,0.5033538931578284,172957.99999999994,False,False,False,0.5033538931578284,188.492,7527,6334,13861
27,27,,342916.0,234411.25000000003,False,False,False,0.3164178690991379,234411.25000000003,False,False,False,0.3164178690991379,234411.25000000003,False,False,False,0.3164178690991379,234411.25000000003,False,False,False,0.3164178690991379,305.194,7448,6447,13895
