scenario_id,ground_truth,qwen3-max-result,差值,是否正确
retail_f1_52_weeks_v0,1006432,1006432,0,1
retail_f1_52_weeks_v1,1004271.5,1004271.5,0,1
retail_f1_52_weeks_v2,1026462.5,null,#VALUE!,0
retail_f1_52_weeks_v3,1006574.5,1006574.5,0,1
retail_f1_52_weeks_v4,1006442.5,null,#VALUE!,0
retail_f1_base_v0,378951.5,null,#VALUE!,0
retail_f1_base_v1,379803,379803,0,1
retail_f1_base_v2,391558.5,391558.5,0,1
retail_f1_base_v3,370433.5,370433.5,9.8953E-10,1
retail_f1_base_v4,371353,371353,9.8953E-10,1
retail_f1_high_waste_v0,378951.5,350885,28066.5,0
retail_f1_high_waste_v1,367896,null,#VALUE!,0
retail_f1_high_waste_v2,379063,379063,0,1
retail_f1_high_waste_v3,377421.5,377421.5,9.8953E-10,1
retail_f1_high_waste_v4,385802.5,385802.5,9.8953E-10,1
retail_f1_jit_logic_v0,502325,502325,0,1
retail_f1_jit_logic_v1,516420,null,#VALUE!,0
retail_f1_jit_logic_v2,512565,512565,0,1
retail_f1_jit_logic_v3,480555,null,#VALUE!,0
retail_f1_jit_logic_v4,539060,539060,0,1
retail_f2_cannibalization_v0,362918.5,362918.5,9.8953E-10,1
retail_f2_cannibalization_v1,367019,null,#VALUE!,0
retail_f2_cannibalization_v2,352674,352674,0,1
retail_f2_cannibalization_v3,355445.5,null,#VALUE!,0
retail_f2_cannibalization_v4,367405,367405,0,1
retail_f2_circular_sub_v0,347594,0,347594,0
retail_f2_circular_sub_v1,348252,348252,9.8953E-10,1
retail_f2_circular_sub_v2,342916,342916,0,1
retail_f2_circular_sub_v3,348595,348595,0,1
retail_f2_circular_sub_v4,346881,null,#VALUE!,0
retail_f2_no_substitution_v0,378951.5,null,#VALUE!,0
retail_f2_no_substitution_v1,399083.5,399083.5,9.8953E-10,1
retail_f2_no_substitution_v2,372422,372422,0,1
retail_f2_no_substitution_v3,406316.5,406316.5,0,1
retail_f2_no_substitution_v4,385892,385892,0,1
retail_f2_price_band_tight_v0,365474.5,365474.5,9.8953E-10,1
retail_f2_price_band_tight_v1,368586,null,#VALUE!,0
retail_f2_price_band_tight_v2,384738.5,null,#VALUE!,0
retail_f2_price_band_tight_v3,361787.5,361787.5,0,1
retail_f2_price_band_tight_v4,362825,null,#VALUE!,0
retail_f2_promo_budget_v0,539902.33,null,#VALUE!,0
retail_f2_promo_budget_v1,522743.92,null,#VALUE!,0
retail_f2_promo_budget_v2,546708.5,546708.5,1.04774E-09,1
retail_f2_promo_budget_v3,542136.08,null,#VALUE!,0
retail_f2_promo_budget_v4,540282.08,1503205,-962922.92,0
retail_f2_ultra_fresh_v0,454980,454980,0,1
retail_f2_ultra_fresh_v1,469130.5,469130.5,0,1
retail_f2_ultra_fresh_v2,443865.5,null,#VALUE!,0
retail_f2_ultra_fresh_v3,424617.5,424617.5,0,1
retail_f2_ultra_fresh_v4,472643.5,4,472639.5,0
retail_f3_storage_bottleneck_v0,429782.4,null,#VALUE!,0
retail_f3_storage_bottleneck_v1,428363.7,428363.7007,-0.000711166,1
retail_f3_storage_bottleneck_v2,405046.03,476755,-71708.97,0
retail_f3_storage_bottleneck_v3,428965.89,428965.8878,0.002159088,1
retail_f3_storage_bottleneck_v4,424383.49,424383.485,0.004995912,1
retail_f3_supply_bottleneck_v0,1021145,1021145,0,1
retail_f3_supply_bottleneck_v1,1026458,1026458,0,1
retail_f3_supply_bottleneck_v2,1014502,1014502,0,1
retail_f3_supply_bottleneck_v3,1047182,null,#VALUE!,0
retail_f3_supply_bottleneck_v4,1009032,0,1009032,0
retail_f3_unbalanced_network_v0,735284.93,735284.9333,-0.003333332,1
retail_f3_unbalanced_network_v1,739353.78,null,#VALUE!,0
retail_f3_unbalanced_network_v2,771200.16,null,#VALUE!,0
retail_f3_unbalanced_network_v3,714169.2,null,#VALUE!,0
retail_f3_unbalanced_network_v4,693650.01,693650.0123,-0.002346286,1
retail_f3_volumetric_constraint_v0,409419.62,null,#VALUE!,0
retail_f3_volumetric_constraint_v1,414093.56,414093.5605,-0.00048654,1
retail_f3_volumetric_constraint_v2,402309,402309.0029,-0.002902302,1
retail_f3_volumetric_constraint_v3,399819.62,399819.6211,-0.001051569,1
retail_f3_volumetric_constraint_v4,399408.82,null,#VALUE!,0
retail_f4_demand_surge_v0,562717.5,562717.5,0,1
retail_f4_demand_surge_v1,596190,null,#VALUE!,0
retail_f4_demand_surge_v2,555907,555907,0,1
retail_f4_demand_surge_v3,585562.5,null,#VALUE!,0
retail_f4_demand_surge_v4,575165,575165,0,1
retail_f4_early_stockout_v0,621810.5,621810.5,0,1
retail_f4_early_stockout_v1,596280.5,null,#VALUE!,0
retail_f4_early_stockout_v2,628599.5,628599.5,0,1
retail_f4_early_stockout_v3,621677.5,621677.5,0,1
retail_f4_early_stockout_v4,620242.5,620242.5,0,1
retail_f4_peak_failure_v0,595032,595032,1.04774E-09,1
retail_f4_peak_failure_v1,554930,null,#VALUE!,0
retail_f4_peak_failure_v2,596084.5,null,#VALUE!,0
retail_f4_peak_failure_v3,585244.5,585244.5,1.04774E-09,1
retail_f4_peak_failure_v4,621889.5,null,#VALUE!,0
retail_f4_quality_hold_v0,566687.5,null,#VALUE!,0
retail_f4_quality_hold_v1,546510.5,546510.5,0,1
retail_f4_quality_hold_v2,556194,556194,0,1
retail_f4_quality_hold_v3,565214,702635,-137421,0
retail_f4_quality_hold_v4,550111,550111,0,1
retail_f4_robust_variance_v0,586968,586968,0,1
retail_f4_robust_variance_v1,581911,581911,0,1
retail_f4_robust_variance_v2,653731,null,#VALUE!,0
retail_f4_robust_variance_v3,603673.5,603673.5,0,1
retail_f4_robust_variance_v4,613811,613811,0,1
retail_f4_supply_risk_v0,484996.5,null,#VALUE!,0
retail_f4_supply_risk_v1,496085,496085,9.8953E-10,1
retail_f4_supply_risk_v2,516706.5,516706.5,0,1
retail_f4_supply_risk_v3,476425.5,476425.5,9.8953E-10,1
retail_f4_supply_risk_v4,498825,null,#VALUE!,0
retail_f5_impossible_demand_v0,5783150,null,#VALUE!,0
retail_f5_impossible_demand_v1,5715150,null,#VALUE!,0
retail_f5_impossible_demand_v2,5800830,null,#VALUE!,0
retail_f5_impossible_demand_v3,5759780,null,#VALUE!,0
retail_f5_impossible_demand_v4,5721560,null,#VALUE!,0
retail_f5_storage_overflow_v0,1428630,null,#VALUE!,0
retail_f5_storage_overflow_v1,1429573.41,null,#VALUE!,0
retail_f5_storage_overflow_v2,1410267.58,null,#VALUE!,0
retail_f5_storage_overflow_v3,1436742.02,null,#VALUE!,0
retail_f5_storage_overflow_v4,1464342.93,null,#VALUE!,0
retail_f5_strict_service_trap_v0,659015.8,null,#VALUE!,0
retail_f5_strict_service_trap_v1,667215.07,null,#VALUE!,0
retail_f5_strict_service_trap_v2,671493.21,null,#VALUE!,0
retail_f5_strict_service_trap_v3,661575.96,null,#VALUE!,0
retail_f5_strict_service_trap_v4,670873.86,null,#VALUE!,0
retail_f5_ultimate_stress_v0,694823,null,#VALUE!,0
retail_f5_ultimate_stress_v1,686020.85,null,#VALUE!,0
retail_f5_ultimate_stress_v2,709631.25,null,#VALUE!,0
retail_f5_ultimate_stress_v3,664512.16,null,#VALUE!,0
retail_f5_ultimate_stress_v4,736925.88,null,#VALUE!,0
retail_f6_fixed_order_cost_v0,755550.05,null,#VALUE!,0
retail_f6_fixed_order_cost_v1,768101.67,null,#VALUE!,0
retail_f6_fixed_order_cost_v2,766436.12,null,#VALUE!,0
retail_f6_fixed_order_cost_v3,764703.38,null,#VALUE!,0
retail_f6_fixed_order_cost_v4,759745.35,null,#VALUE!,0
retail_f6_lead_time_v0,528518,null,#VALUE!,0
retail_f6_lead_time_v1,486598,null,#VALUE!,0
retail_f6_lead_time_v2,514981,null,#VALUE!,0
retail_f6_lead_time_v3,510229,null,#VALUE!,0
retail_f6_lead_time_v4,502283,null,#VALUE!,0
retail_f6_moq_binary_v0,506120.72,null,#VALUE!,0
retail_f6_moq_binary_v1,511116.43,null,#VALUE!,0
retail_f6_moq_binary_v2,486970.87,null,#VALUE!,0
retail_f6_moq_binary_v3,514497.87,null,#VALUE!,0
retail_f6_moq_binary_v4,510333.63,null,#VALUE!,0
retail_f6_pack_size_integer_v0,399680.25,null,#VALUE!,0
retail_f6_pack_size_integer_v1,399656.42,null,#VALUE!,0
retail_f6_pack_size_integer_v2,407555.67,null,#VALUE!,0
retail_f6_pack_size_integer_v3,403105.47,null,#VALUE!,0
retail_f6_pack_size_integer_v4,401053.48,null,#VALUE!,0
retail_f7_budget_limit_v0,733496.92,null,#VALUE!,0
retail_f7_budget_limit_v1,718711.42,null,#VALUE!,0
retail_f7_budget_limit_v2,715371.42,null,#VALUE!,0
retail_f7_budget_limit_v3,714690.83,null,#VALUE!,0
retail_f7_budget_limit_v4,719933,null,#VALUE!,0
retail_f7_hub_and_spoke_v0,444921.89,null,#VALUE!,0
retail_f7_hub_and_spoke_v1,448347.29,null,#VALUE!,0
retail_f7_hub_and_spoke_v2,430416.21,null,#VALUE!,0
retail_f7_hub_and_spoke_v3,441399.64,null,#VALUE!,0
retail_f7_hub_and_spoke_v4,462895.92,null,#VALUE!,0
retail_f7_multi_sourcing_v0,524480.5,null,#VALUE!,0
retail_f7_multi_sourcing_v1,522186,null,#VALUE!,0
retail_f7_multi_sourcing_v2,508672,null,#VALUE!,0
retail_f7_multi_sourcing_v3,507135.5,null,#VALUE!,0
retail_f7_multi_sourcing_v4,529493,null,#VALUE!,0
retail_f7_multiechelon_chain_v0,622677.8,null,#VALUE!,0
retail_f7_multiechelon_chain_v1,641471.79,null,#VALUE!,0
retail_f7_multiechelon_chain_v2,712822.05,null,#VALUE!,0
retail_f7_multiechelon_chain_v3,638919.04,null,#VALUE!,0
retail_f7_multiechelon_chain_v4,624743.26,null,#VALUE!,0
retail_f7_ring_routing_v0,378951.5,null,#VALUE!,0
retail_f7_ring_routing_v1,387984.5,null,#VALUE!,0
retail_f7_ring_routing_v2,383830,null,#VALUE!,0
retail_f7_ring_routing_v3,380527,null,#VALUE!,0
retail_f7_ring_routing_v4,377102,null,#VALUE!,0
retail_f7_transshipment_v0,378951.5,null,#VALUE!,0
retail_f7_transshipment_v1,364495.5,null,#VALUE!,0
retail_f7_transshipment_v2,387474,null,#VALUE!,0
retail_f7_transshipment_v3,382278,null,#VALUE!,0
retail_f7_transshipment_v4,384023,null,#VALUE!,0
retail_f8_labor_constraint_v0,378951.5,null,#VALUE!,0
retail_f8_labor_constraint_v1,380643,null,#VALUE!,0
retail_f8_labor_constraint_v2,372347.5,null,#VALUE!,0
retail_f8_labor_constraint_v3,375970.5,null,#VALUE!,0
retail_f8_labor_constraint_v4,384874,384874,9.8953E-10,1
retail_f8_reverse_logistics_v0,317794.15,317794.15,0,1
retail_f8_reverse_logistics_v1,312438.75,null,#VALUE!,0
retail_f8_reverse_logistics_v2,307341.3,307341.3,9.8953E-10,1
retail_f8_reverse_logistics_v3,311285.95,311285.95,0,1
retail_f8_reverse_logistics_v4,318471.7,null,#VALUE!,0
retail_f8_ship_from_store_v0,378951.5,378951.5,0,1
retail_f8_ship_from_store_v1,389360.5,null,#VALUE!,0
retail_f8_ship_from_store_v2,367720.5,null,#VALUE!,0
retail_f8_ship_from_store_v3,386863.5,386863.5,9.8953E-10,1
retail_f8_ship_from_store_v4,372322,372322,0,1
retail_f8_sustainability_v0,378951.5,null,#VALUE!,0
retail_f8_sustainability_v1,388265.5,388265.5,9.8953E-10,1
retail_f8_sustainability_v2,381968.5,null,#VALUE!,0
retail_f8_sustainability_v3,382648,514785,-132137,0
retail_f8_sustainability_v4,367880.5,null,#VALUE!,0
,,,,67
