scenario_id,ground_truth,claude-opus-4.5-result,差值,是否正确
retail_f1_52_weeks_v0,"1,006,432.00",1006432,1.00117E-08,1
retail_f1_52_weeks_v1,"1,004,271.50",1004303.75,-32.24999999,1
retail_f1_52_weeks_v2,"1,026,462.50",1026462.5,0,1
retail_f1_52_weeks_v3,"1,006,574.50",1006574.5,0,1
retail_f1_52_weeks_v4,"1,006,442.50",1006442.5,0,1
retail_f1_base_v0,"378,951.50",378951.5,9.8953E-10,1
retail_f1_base_v1,"379,803.00",278790,101013,0
retail_f1_base_v2,"391,558.50",391558.5,0,1
retail_f1_base_v3,"370,433.50",370433.5,9.8953E-10,1
retail_f1_base_v4,"371,353.00",371353,9.8953E-10,1
retail_f1_high_waste_v0,"378,951.50",null,#VALUE!,0
retail_f1_high_waste_v1,"367,896.00",null,#VALUE!,0
retail_f1_high_waste_v2,"379,063.00",379063,0,1
retail_f1_high_waste_v3,"377,421.50",377421.5,0,1
retail_f1_high_waste_v4,"385,802.50",385802.5,9.8953E-10,1
retail_f1_jit_logic_v0,"502,325.00",502325,0,1
retail_f1_jit_logic_v1,"516,420.00",516420,0,1
retail_f1_jit_logic_v2,"512,565.00",512565,0,1
retail_f1_jit_logic_v3,"480,555.00",480555,0,1
retail_f1_jit_logic_v4,"539,060.00",539060,0,1
retail_f2_cannibalization_v0,"362,918.50",362918.5,0,1
retail_f2_cannibalization_v1,"367,019.00",367019,0,1
retail_f2_cannibalization_v2,"352,674.00",352674,9.8953E-10,1
retail_f2_cannibalization_v3,"355,445.50",355445.5,0,1
retail_f2_cannibalization_v4,"367,405.00",367405,0,1
retail_f2_circular_sub_v0,"347,594.00",347594,0,1
retail_f2_circular_sub_v1,"348,252.00",355010.3083,-6758.308333,0
retail_f2_circular_sub_v2,"342,916.00",null,#VALUE!,0
retail_f2_circular_sub_v3,"348,595.00",354791.6417,-6196.641667,0
retail_f2_circular_sub_v4,"346,881.00",346881,0,1
retail_f2_no_substitution_v0,"378,951.50",null,#VALUE!,0
retail_f2_no_substitution_v1,"399,083.50",null,#VALUE!,0
retail_f2_no_substitution_v2,"372,422.00",null,#VALUE!,0
retail_f2_no_substitution_v3,"406,316.50",null,#VALUE!,0
retail_f2_no_substitution_v4,"385,892.00",null,#VALUE!,0
retail_f2_price_band_tight_v0,"365,474.50",365474.5,9.8953E-10,1
retail_f2_price_band_tight_v1,"368,586.00",368586,9.8953E-10,1
retail_f2_price_band_tight_v2,"384,738.50",384738.5,9.8953E-10,1
retail_f2_price_band_tight_v3,"361,787.50",261444,100343.5,0
retail_f2_price_band_tight_v4,"362,825.00",362825,0,1
retail_f2_promo_budget_v0,"539,902.33",null,#VALUE!,0
retail_f2_promo_budget_v1,"522,743.92",522743.9167,0.003333334,1
retail_f2_promo_budget_v2,"546,708.50",546708.5,0,1
retail_f2_promo_budget_v3,"542,136.08",542136.0833,-0.003333333,1
retail_f2_promo_budget_v4,"540,282.08",540282.0833,-0.003333333,1
retail_f2_ultra_fresh_v0,"454,980.00",454980,0,1
retail_f2_ultra_fresh_v1,"469,130.50",469130.5,0,1
retail_f2_ultra_fresh_v2,"443,865.50",443865.5,9.8953E-10,1
retail_f2_ultra_fresh_v3,"424,617.50",424617.5,0,1
retail_f2_ultra_fresh_v4,"472,643.50",472643.5,0,1
retail_f3_storage_bottleneck_v0,"429,782.40",429782.4,0,1
retail_f3_storage_bottleneck_v1,"428,363.70",null,#VALUE!,0
retail_f3_storage_bottleneck_v2,"405,046.03",405046.0331,-0.003072208,1
retail_f3_storage_bottleneck_v3,"428,965.89",428965.8878,0.002159089,1
retail_f3_storage_bottleneck_v4,"424,383.49",424383.485,0.004995912,1
retail_f3_supply_bottleneck_v0,"1,021,145.00",1021145,0,1
retail_f3_supply_bottleneck_v1,"1,026,458.00",1026458,0,1
retail_f3_supply_bottleneck_v2,"1,014,502.00",1014502,0,1
retail_f3_supply_bottleneck_v3,"1,047,182.00",1047182,0,1
retail_f3_supply_bottleneck_v4,"1,009,032.00",1009032,0,1
retail_f3_unbalanced_network_v0,"735,284.93",735284.9333,-0.003333332,1
retail_f3_unbalanced_network_v1,"739,353.78",739353.7785,0.00150312,1
retail_f3_unbalanced_network_v2,"771,200.16",771200.164,-0.004037309,1
retail_f3_unbalanced_network_v3,"714,169.20",714169.2022,-0.002150828,1
retail_f3_unbalanced_network_v4,"693,650.01",693650.0123,-0.002346286,1
retail_f3_volumetric_constraint_v0,"409,419.62",409419.62,0,1
retail_f3_volumetric_constraint_v1,"414,093.56",414093.5605,-0.00048654,1
retail_f3_volumetric_constraint_v2,"402,309.00",402309.0029,-0.002902302,1
retail_f3_volumetric_constraint_v3,"399,819.62",399819.6211,-0.001051569,1
retail_f3_volumetric_constraint_v4,"399,408.82",399408.8221,-0.002114908,1
retail_f4_demand_surge_v0,"562,717.50",562717.5,1.04774E-09,1
retail_f4_demand_surge_v1,"596,190.00",596190,0,1
retail_f4_demand_surge_v2,"555,907.00",555907,0,1
retail_f4_demand_surge_v3,"585,562.50",585562.5,0,1
retail_f4_demand_surge_v4,"575,165.00",575165,1.04774E-09,1
retail_f4_early_stockout_v0,"621,810.50",621810.5,0,1
retail_f4_early_stockout_v1,"596,280.50",596280.5,0,1
retail_f4_early_stockout_v2,"628,599.50",628599.5,0,1
retail_f4_early_stockout_v3,"621,677.50",621677.5,0,1
retail_f4_early_stockout_v4,"620,242.50",620242.5,0,1
retail_f4_peak_failure_v0,"595,032.00",595032,0,1
retail_f4_peak_failure_v1,"554,930.00",554930,1.04774E-09,1
retail_f4_peak_failure_v2,"596,084.50",596084.5,1.04774E-09,1
retail_f4_peak_failure_v3,"585,244.50",362357.986,222886.514,0
retail_f4_peak_failure_v4,"621,889.50",621889.5,0,1
retail_f4_quality_hold_v0,"566,687.50",566687.5,0,1
retail_f4_quality_hold_v1,"546,510.50",546510.5,0,1
retail_f4_quality_hold_v2,"556,194.00",556194,0,1
retail_f4_quality_hold_v3,"565,214.00",565214,0,1
retail_f4_quality_hold_v4,"550,111.00",550111,0,1
retail_f4_robust_variance_v0,"586,968.00",586968,1.04774E-09,1
retail_f4_robust_variance_v1,"581,911.00",581911,0,1
